StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q13,Q12,Q1,Q2 _1,Q3_1,Q4,Q5_1,Q6,Q7,Q8,TREATMENT
2025-04-30 15:55:03,2025-04-30 16:10:24,IP Address,189.128.245.245,100,920,True,2025-04-30 16:10:25,R_3MIL2JoF9umT6wh,,,,,20.6589,-100.4165,anonymous,EN,I would like to be in five years in a confortable financial situation. My main goal is to have time and financial resources for enjoy life. Staring to invest my money in assets like real estate now can help me to achieve my goals.,,,Daily,10,9,No,10,Never,59,Male,T1:JOURNALING
2025-04-30 16:12:04,2025-04-30 16:12:51,IP Address,80.110.35.198,100,46,True,2025-04-30 16:12:51,R_8LeAD63Vet63EGt,,,,,48.1982,16.3917,anonymous,EN,,I watched the video,,Weekly,8,9,No,9,Monthly,22,Male,T2: VIDEO
2025-04-30 16:15:43,2025-04-30 16:16:46,IP Address,77.119.164.49,100,62,True,2025-04-30 16:16:47,R_2DzKvxQk8zdBIT2,,,,,48.1982,16.3917,anonymous,EN,,,Dog Person,Daily,8,8,Yes,9,Weekly,23,Male,CONTROL
2025-04-30 16:21:38,2025-04-30 16:25:00,IP Address,77.248.0.30,100,201,True,2025-04-30 16:25:00,R_245UAcSHBakpURX,,,,,51.9617,4.5476,anonymous,EN,,,Dog Person,Weekly,7,2,No,3,Monthly,23,Male,CONTROL
2025-04-30 16:31:06,2025-04-30 16:31:54,IP Address,62.99.176.46,100,48,True,2025-04-30 16:31:54,R_2EYHKSL3sNiafV2,,,,,48.301,16.3448,anonymous,EN,,,Dog Person,Daily,9,10,Yes,9,Monthly,22,Female,CONTROL
2025-04-30 16:44:06,2025-04-30 16:46:40,IP Address,104.28.130.6,100,154,True,2025-04-30 16:46:41,R_2rrHBHOPHro6khG,,,,,48.2049,16.3662,anonymous,EN,,I watched the video,,Daily,10,5,Yes,10,Daily,20,Male,T2: VIDEO
2025-04-30 16:39:11,2025-04-30 16:47:07,IP Address,176.0.57.226,100,475,True,2025-04-30 16:47:07,R_2ffUdscEYivvhhh,,,,,52.5203,13.3849,anonymous,EN,"Be in a healthy and fulfilling relationship, work in nuttition, be active, have a close Circle of friends, be creative, work on my one startup, Consulting people ",,,Weekly,7,7,Yes,5,Monthly,21,Female,T1:JOURNALING
2025-04-30 16:56:19,2025-04-30 16:57:40,IP Address,193.175.2.17,100,81,True,2025-04-30 16:57:41,R_2BVkPuE6pzL38qw,,,,,52.5078,13.4326,anonymous,EN,Learn,,,Weekly,8,8,Yes,9,Daily,20,Male,T1:JOURNALING
2025-04-30 16:56:49,2025-04-30 16:58:13,IP Address,104.28.30.78,100,83,True,2025-04-30 16:58:13,R_2CrkknhDtdemJNf,,,,,52.0586,4.4948,anonymous,EN,,,Cat Person,Weekly,4,3,No,4,Weekly,22,Male,CONTROL
2025-04-30 16:57:18,2025-04-30 16:58:38,IP Address,109.40.49.60,100,80,True,2025-04-30 16:58:39,R_20vC1nKF6tAjYn7,,,,,50.1169,8.6837,anonymous,EN,,I watched the video,,Daily,9,7,No,7,Monthly,20,Female,T2: VIDEO
2025-04-30 16:57:46,2025-04-30 16:58:46,IP Address,91.141.38.229,100,59,True,2025-04-30 16:58:46,R_8FMpDVIrDftxUTT,,,,,48.2133,16.2966,anonymous,EN,,,Cat Person,Monthly,7,8,No,10,Never,22,Male,CONTROL
2025-04-30 16:59:26,2025-04-30 17:00:39,IP Address,79.211.27.244,100,72,True,2025-04-30 17:00:39,R_2majTzjyFBtfwpb,,,,,52.4552,13.2807,anonymous,EN,,I watched the video,,Daily,9,7,No,7,Monthly,22,Female,T2: VIDEO
2025-04-30 17:05:43,2025-04-30 17:07:23,IP Address,92.243.44.82,100,99,True,2025-04-30 17:07:23,R_8kiD1Cv3aBq4XMy,,,,,48.2324,16.3518,anonymous,EN,,,Cat Person,Daily,5,5,No,9,Monthly,19,Female,CONTROL
2025-04-30 17:06:40,2025-04-30 17:07:51,IP Address,91.141.59.80,100,70,True,2025-04-30 17:07:51,R_8ozNh6eWz3RADs6,,,,,48.1535,16.3855,anonymous,EN,,,Cat Person,Weekly,9,7,Yes,10,Daily,21,Female,CONTROL
2025-04-30 17:07:53,2025-04-30 17:09:40,IP Address,89.245.180.38,100,106,True,2025-04-30 17:09:40,R_2ak2pvVtjAU7Vnj,,,,,51.4504,6.9705,anonymous,EN,,I watched the video,,Monthly,7,7,No,8,Monthly,20,Female,T2: VIDEO
2025-04-30 17:08:56,2025-04-30 17:10:09,IP Address,176.3.6.4,100,72,True,2025-04-30 17:10:09,R_2VkeSRcwkjLnWkw,,,,,49.9874,8.4232,anonymous,EN,"I want to be finishing my masters 

My education 

Get fit, I could go to the gym more ",,,Daily,10,10,Yes,10,Daily,20,Male,T1:JOURNALING
2025-04-30 17:08:38,2025-04-30 17:11:14,IP Address,46.142.33.136,100,156,True,2025-04-30 17:11:15,R_8WZ2cHCIs0USSIt,,,,,52.4635,13.3792,anonymous,EN,,,Dog Person,Weekly,7,7,Yes,5,Weekly,21,Female,CONTROL
2025-04-30 17:15:37,2025-04-30 17:17:59,IP Address,194.118.127.95,100,142,True,2025-04-30 17:17:59,R_8z8AQ2F8LQTrMwl,,,,,48.1535,16.3855,anonymous,EN,,I watched the video,,Monthly,7,8,No,6,Monthly,21,Female,T2: VIDEO
2025-04-30 17:20:38,2025-04-30 17:21:14,IP Address,212.12.38.120,100,35,True,2025-04-30 17:21:15,R_8szQOy88dSo8fFV,,,,,53.5574,9.9812,anonymous,EN,,,Cat Person,Weekly,5,10,No,7,Monthly,21,Female,CONTROL
2025-04-30 17:26:38,2025-04-30 17:27:40,IP Address,46.7.217.91,100,61,True,2025-04-30 17:27:41,R_8F8kqK0MoRnSLec,,,,,53.2945,-6.2724,anonymous,EN,,,Dog Person,Daily,7,7,Yes,5,Monthly,21,Female,CONTROL
2025-04-30 17:26:20,2025-04-30 17:28:31,IP Address,61.8.147.11,100,131,True,2025-04-30 17:28:32,R_2jFNnKfGQZ1hoyd,,,,,53.5372,10.1021,anonymous,EN,,I watched the video,,Weekly,8,9,No,10,Weekly,22,Female,T2: VIDEO
2025-04-30 17:26:40,2025-04-30 17:29:01,IP Address,77.133.250.84,100,140,True,2025-04-30 17:29:01,R_8PYqgPk417FGarz,,,,,48.8558,2.3494,anonymous,EN,,I watched the video,,Monthly,3,6,No,8,Never,26,Male,T2: VIDEO
2025-04-30 17:29:03,2025-04-30 17:31:27,IP Address,41.66.98.109,100,143,True,2025-04-30 17:31:28,R_8MLP3nJCZfKMbrr,,,,,48.301,16.3448,anonymous,EN,Yes,,,Daily,9,7,No,10,Monthly,22,Male,T1:JOURNALING
2025-04-30 17:40:13,2025-04-30 17:41:26,IP Address,176.1.7.132,100,73,True,2025-04-30 17:41:27,R_23DBTQFwA9bd2oY,,,,,51.4469,6.687,anonymous,EN,,,Dog Person,Weekly,9,7,No,9,Monthly,21,Male,CONTROL
2025-04-30 17:48:09,2025-04-30 17:49:41,IP Address,84.115.225.149,100,91,True,2025-04-30 17:49:41,R_2egktloc8m39Mah,,,,,48.1535,16.3855,anonymous,EN,,I watched the video,,Weekly,3,0,No,8,Monthly,21,Female,T2: VIDEO
2025-04-30 17:50:14,2025-04-30 17:51:19,IP Address,98.28.110.232,100,65,True,2025-04-30 17:51:19,R_11HAyGmz5qHbV3V,,,,,41.1208,-83.1733,anonymous,EN,,,Dog Person,Daily,8,7,No,3,Never,23,Male,CONTROL
2025-04-30 18:06:12,2025-04-30 18:07:55,IP Address,84.174.149.160,100,103,True,2025-04-30 18:07:56,R_8uNVVLy3OlSUjgE,,,,,52.4822,13.3392,anonymous,EN,,I watched the video,,Monthly,7,6,Yes,6,Monthly,18,Female,T2: VIDEO
2025-04-30 18:08:58,2025-04-30 18:12:32,IP Address,193.207.220.44,100,214,True,2025-04-30 18:12:32,R_2DJsf1PXhdkbZHH,,,,,44.5919,11.0487,anonymous,EN,spending time with people I love and work on my studies,,,Daily,8,3,Yes,7,Monthly,24,Female,T1:JOURNALING
2025-04-30 18:38:05,2025-04-30 18:40:05,IP Address,35.145.79.147,100,120,True,2025-04-30 18:40:06,R_75tsj7vugIfMdm6,,,,,29.2353,-81.0704,anonymous,EN,"I want my life to look beautiful, happy, fulfilled, and full of love and success

Graduating college
Take my oaes",,,Daily,10,8,No,9,Monthly,20,Female,T1:JOURNALING
2025-04-30 18:50:59,2025-04-30 18:52:06,IP Address,80.187.86.220,100,66,True,2025-04-30 18:52:06,R_8SxcTCkoViUOT5g,,,,,52.5181,13.403,anonymous,EN,,,Cat Person,Daily,6,4,No,3,Weekly,22,Female,CONTROL
2025-04-30 18:57:19,2025-04-30 18:59:26,IP Address,81.10.223.234,100,127,True,2025-04-30 18:59:27,R_7TFDw0NZvmJ7Fzu,,,,,48.3074,14.285,anonymous,EN,,,Dog Person,Weekly,5,6,No,3,Daily,21,Male,CONTROL
2025-04-30 19:05:49,2025-04-30 19:08:16,IP Address,87.178.14.236,100,146,True,2025-04-30 19:08:16,R_2rMWVHXsCBHOigs,,,,,50.7264,7.1167,anonymous,EN,,I watched the video,,Daily,7,7,No,10,Never,52,Female,T2: VIDEO
2025-04-30 19:35:32,2025-04-30 19:36:56,IP Address,5.151.212.4,100,83,True,2025-04-30 19:36:56,R_8hyxGSGUhIWhccq,,,,,53.7543,-1.5462,anonymous,EN,,I watched the video,,Monthly,2,1,No,8,Monthly,20,Female,T2: VIDEO
2025-04-30 19:36:01,2025-04-30 19:45:47,IP Address,83.135.3.202,100,585,True,2025-04-30 19:45:47,R_7f1FG9XfOTDmMtG,,,,,52.4847,13.3484,anonymous,EN,"1) a movie, rich in human connections and always living at a warm place 2) getting through Uni 3) meditate ",,,Daily,7,7,Yes,7,Weekly,21,Female,T1:JOURNALING
2025-04-30 19:47:18,2025-04-30 19:49:16,IP Address,189.203.103.176,100,117,True,2025-04-30 19:49:16,R_6aShqUImrpP1h29,,,,,20.7495,-103.4651,anonymous,EN,,,Cat Person,Weekly,8,5,No,10,Monthly,52,Female,CONTROL
2025-04-30 19:51:01,2025-04-30 19:52:05,IP Address,41.66.98.11,100,64,True,2025-04-30 19:52:05,R_80rBN2s4WpdzjtD,,,,,48.301,16.3448,anonymous,EN,,,Dog Person,Daily,6,8,Yes,5,Weekly,24,Male,CONTROL
2025-04-30 19:58:01,2025-04-30 20:07:31,IP Address,92.184.145.176,100,569,True,2025-04-30 20:07:31,R_8fetMDDyVL0JA09,,,,,48.8582,2.3387,anonymous,EN,"Travel, discover and work, master’s thesis. Work regularly ",,,Daily,9,9,No,10,Never,22,Male,T1:JOURNALING
2025-04-30 20:12:33,2025-04-30 20:13:57,IP Address,77.160.83.115,100,83,True,2025-04-30 20:13:57,R_2eWPe3XnvFj160N,,,,,50.8519,5.7205,anonymous,EN,,I watched the video,,Daily,9,8,No,8,Weekly,21,Male,T2: VIDEO
2025-04-30 20:17:49,2025-04-30 20:19:06,IP Address,89.144.201.239,100,77,True,2025-04-30 20:19:06,R_2Orfy76R4M7olDc,,,,,48.1535,16.3855,anonymous,EN,,,Cat Person,Daily,8,8,No,5,Weekly,21,Male,CONTROL
2025-04-30 20:29:11,2025-04-30 20:30:28,IP Address,86.84.6.17,100,77,True,2025-04-30 20:30:29,R_2QGGRbSCowF5iov,,,,,50.8559,6.0308,anonymous,EN,,,Dog Person,Daily,9,9,Yes,9,Weekly,28,Male,CONTROL
2025-04-30 20:36:01,2025-04-30 20:37:39,IP Address,84.114.19.114,100,98,True,2025-04-30 20:37:39,R_88V8mbvmDwc7gba,,,,,48.2372,16.3771,anonymous,EN,work,,,Weekly,3,6,No,8,Monthly,20,Male,T1:JOURNALING
2025-04-30 20:37:15,2025-04-30 20:38:51,IP Address,213.185.164.119,100,95,True,2025-04-30 20:38:51,R_2UtvSmceGXX1mmt,,,,,48.2049,16.3662,anonymous,EN,finishing my studies and getting a job,,,Daily,8,8,No,7,Monthly,19,Female,T1:JOURNALING
2025-04-30 20:37:02,2025-04-30 20:38:58,IP Address,193.171.243.72,100,115,True,2025-04-30 20:38:58,R_2Pn2s1s6hrEMVEt,,,,,47.0257,15.5325,anonymous,EN,,I watched the video,,Daily,6,4,No,6,Weekly,19,Female,T2: VIDEO
2025-04-30 20:50:42,2025-04-30 20:52:08,IP Address,87.153.139.157,100,85,True,2025-04-30 20:52:08,R_8nNQoQ0uC5AMOSP,,,,,52.5312,13.3878,anonymous,EN,,,Dog Person,Daily,9,8,No,7,Monthly,20,Male,CONTROL
2025-04-30 21:16:24,2025-04-30 21:17:50,IP Address,178.113.15.186,100,86,True,2025-04-30 21:17:51,R_2exWGPtZyrniUaK,,,,,48.2169,16.4997,anonymous,EN,,I watched the video,,Monthly,7,7,No,8,Monthly,22,Female,T2: VIDEO
2025-04-30 22:04:16,2025-04-30 22:05:16,IP Address,89.144.199.203,100,59,True,2025-04-30 22:05:17,R_21aQdaliG0ro6W2,,,,,48.1535,16.3855,anonymous,EN,,,Cat Person,Daily,7,8,Yes,5,Monthly,20,Male,CONTROL
2025-04-30 22:09:58,2025-04-30 22:11:33,IP Address,84.115.222.143,100,95,True,2025-04-30 22:11:34,R_8AGHSLyP3QfDQyd,,,,,48.217,16.3944,anonymous,EN,,I watched the video,,Weekly,7,3,No,8,Never,20,Female,T2: VIDEO
2025-04-30 22:22:43,2025-04-30 22:27:08,IP Address,172.225.184.38,100,264,True,2025-04-30 22:27:08,R_31amG9ujS4CTAhQ,,,,,52.5196,13.4069,anonymous,EN,"In five years I would like to fulfill my life with satisfaction, consisting mostly in more stability. within five years I would like to reach an intellectual base for the future working live. 
To get closer to this goal I should finish my university 
",,,Never,8,8,No,5,Never,22,Male,T1:JOURNALING
2025-04-30 22:29:14,2025-04-30 22:31:18,IP Address,46.142.29.145,100,124,True,2025-04-30 22:31:19,R_3E0Po5f1BggIsyM,,,,,52.5147,13.2504,anonymous,EN,,I watched the video,,Weekly,2,3,No,7,Monthly,21,Female,T2: VIDEO
2025-04-30 22:30:54,2025-04-30 22:32:22,IP Address,84.140.63.130,100,87,True,2025-04-30 22:32:22,R_8rqoaRY4x0byWnj,,,,,52.4665,13.1463,anonymous,EN,,,Dog Person,Daily,10,10,No,7,Weekly,20,Female,CONTROL
2025-04-30 22:35:50,2025-04-30 22:36:48,IP Address,88.178.210.75,100,57,True,2025-04-30 22:36:49,R_7wHctuX2QI36FLb,,,,,48.8558,2.3494,anonymous,EN,,,Cat Person,Monthly,7,5,No,6,Never,22,Female,CONTROL
2025-04-30 22:28:42,2025-04-30 22:41:39,IP Address,84.115.228.233,100,777,True,2025-04-30 22:41:40,R_6VQlP5ZtoMn6gLQ,,,,,48.1535,16.3855,anonymous,EN,"In 5 years I want my life to look like it’s created by me and I can identify and be proud with everything I did until this point.

One goal that matters most to me right now is creating chances and moments in the present and the future that make my life worth living.

One thing I could do this week is being open to new things.",,,Daily,7,8,No,7,Monthly,21,Male,T1:JOURNALING
2025-04-30 22:48:40,2025-04-30 22:50:12,IP Address,2.215.191.53,100,91,True,2025-04-30 22:50:12,R_2lLcI1ZVqSdaC25,,,,,52.5181,13.403,anonymous,EN,Being able to be proud of myself,,,Daily,2,6,Yes,2,Never,22,Female,T1:JOURNALING
2025-04-30 22:49:12,2025-04-30 22:50:20,IP Address,80.187.121.111,100,68,True,2025-04-30 22:50:21,R_8xKsgJpxmh9lbNU,,,,,50.7735,7.4554,anonymous,EN,,,Dog Person,Monthly,5,7,No,6,Monthly,23,Female,CONTROL
2025-04-30 23:02:02,2025-04-30 23:03:52,IP Address,104.28.129.26,100,109,True,2025-04-30 23:03:52,R_2fBc4CQlA39ep3w,,,,,52.5196,13.4069,anonymous,EN,,I watched the video,,Weekly,9,8,Yes,5,Never,20,Female,T2: VIDEO
2025-04-30 23:08:23,2025-04-30 23:10:11,IP Address,194.0.73.104,100,107,True,2025-04-30 23:10:12,R_1dNbqpoOyn9fmnm,,,,,48.1982,16.3917,anonymous,EN,"In 5 years, I want my life to look like my dream.
One goal that matters most to me right now is being successful in my career.
What’s one small thing I could do this week to get closer to that goal is by studying harder.",,,Weekly,7,5,No,5,Never,21,Male,T1:JOURNALING
2025-04-30 23:13:55,2025-04-30 23:15:45,IP Address,176.3.85.209,100,110,True,2025-04-30 23:15:45,R_279YiTAjcuNPtTk,,,,,50.1288,8.7034,anonymous,EN,,,Cat Person,Weekly,7,2,No,3,Monthly,21,Female,CONTROL
2025-04-30 23:25:13,2025-04-30 23:27:44,IP Address,87.178.18.218,100,151,True,2025-04-30 23:27:44,R_8rqNKoSkiZT5T4L,,,,,50.6405,7.218,anonymous,EN,"Have my masters degree and my first job, and be living with my long distance partner. One thing I could do to get closer is to research my options for master degree programs ",,,Weekly,6,7,No,8,Monthly,21,Female,T1:JOURNALING
2025-04-30 23:34:16,2025-04-30 23:35:47,IP Address,89.247.173.128,100,90,True,2025-04-30 23:35:47,R_8jmIFHWo1BX2hFv,,,,,52.4891,13.4296,anonymous,EN,,I watched the video,,Weekly,3,2,No,7,Never,20,Male,T2: VIDEO
2025-04-30 23:38:56,2025-04-30 23:39:42,IP Address,89.144.220.27,100,45,True,2025-04-30 23:39:42,R_2svtHNs5JPOWQIb,,,,,48.2169,16.4997,anonymous,EN,,,Cat Person,Daily,8,6,No,5,Weekly,21,Male,CONTROL
2025-04-30 23:48:54,2025-04-30 23:49:39,IP Address,91.22.73.121,100,45,True,2025-04-30 23:49:39,R_7ckLLacapjq4Na1,,,,,49.4535,11.1029,anonymous,EN,,,Dog Person,Weekly,10,10,No,2,Weekly,21,Female,CONTROL
2025-05-01 01:01:13,2025-05-01 01:02:47,IP Address,80.187.84.216,100,94,True,2025-05-01 01:02:47,R_2JEF84q9UqDmbB9,,,,,52.5181,13.403,anonymous,EN,,,Cat Person,Monthly,6,4,Yes,4,Monthly,21,Female,CONTROL
2025-04-30 16:22:08,2025-05-01 01:59:33,IP Address,213.185.164.119,100,34644,True,2025-05-01 01:59:33,R_2NzGHCBS0FZHfm9,,,,,48.2169,16.4997,anonymous,EN,,I watched the video,,Daily,4,6,No,5,Monthly,21,Female,T2: VIDEO
2025-05-01 07:42:18,2025-05-01 07:44:45,IP Address,180.87.125.3,100,147,True,2025-05-01 07:44:46,R_9erhEsOjYMbHpn2,,,,,1.2872,103.8507,anonymous,EN,,I watched the video,,Monthly,9,10,No,9,Weekly,23,Male,T2: VIDEO
2025-05-01 08:37:21,2025-05-01 08:41:03,IP Address,89.144.204.46,100,221,True,2025-05-01 08:41:04,R_2l4bqxbTDBHFtxn,,,,,48.1773,16.2456,anonymous,EN,,,Dog Person,Weekly,3,2,No,4,Monthly,20,Female,CONTROL
2025-05-01 08:41:24,2025-05-01 08:42:48,IP Address,80.187.87.127,100,84,True,2025-05-01 08:42:48,R_2ckeVZYP2JfSftw,,,,,52.5181,13.403,anonymous,EN,,I watched the video,,Daily,2,9,No,4,Monthly,21,Male,T2: VIDEO
2025-05-01 08:44:40,2025-05-01 08:46:28,IP Address,83.64.35.166,100,108,True,2025-05-01 08:46:29,R_8ysaRLEz9iUYm8F,,,,,48.217,16.3944,anonymous,EN,"Success 
Work on my discipline",,,Daily,8,6,No,6,Weekly,21,Female,T1:JOURNALING
2025-05-01 09:06:59,2025-05-01 09:09:42,IP Address,84.189.64.193,100,162,True,2025-05-01 09:09:42,R_2Qfe9Wdjygum5hs,,,,,52.3679,13.1232,anonymous,EN,,,Dog Person,Monthly,7,10,No,3,Never,46,Female,CONTROL
2025-05-01 10:14:31,2025-05-01 10:19:29,IP Address,61.8.144.79,100,298,True,2025-05-01 10:19:29,R_2SiPtWjV9WY8Wvb,,,,,53.5372,10.1021,anonymous,EN,,I watched the video,,Monthly,10,8,No,6,Never,42,Female,T2: VIDEO
2025-05-01 10:48:13,2025-05-01 10:49:22,IP Address,84.115.222.143,100,69,True,2025-05-01 10:49:23,R_8H8I2ZykHJCeNMt,,,,,48.217,16.3944,anonymous,EN,,,Dog Person,Daily,8,6,No,7,Never,21,Female,CONTROL
2025-05-01 11:51:53,2025-05-01 11:53:26,IP Address,91.2.222.29,100,93,True,2025-05-01 11:53:27,R_5OvJzToSqwjLwqv,,,,,52.4308,13.3517,anonymous,EN,,,Dog Person,Daily,8,7,No,7,Daily,23,Female,CONTROL
2025-05-01 12:36:38,2025-05-01 12:41:29,IP Address,84.115.224.159,100,290,True,2025-05-01 12:41:29,R_8YPbeRIrh8UyJ3y,,,,,48.1535,16.3855,anonymous,EN,"...fulfilled, happy, optimistic, not boring, with purpose, living in a democracy
...to find a passion with which I can be both happy and have a positive impact which is noticable.
...try out new things and immerse myself in new topics of interest",,,Weekly,7,7,No,9,Never,20,Male,T1:JOURNALING
2025-05-01 13:15:13,2025-05-01 13:16:06,IP Address,122.150.158.22,100,52,True,2025-05-01 13:16:06,R_9kF7nn6XdjVncoc,,,,,-33.9796,151.0887,anonymous,EN,,I watched the video,,Daily,7,5,No,6,Weekly,31,Female,T2: VIDEO
2025-05-01 14:02:30,2025-05-01 14:03:57,IP Address,213.164.16.28,100,87,True,2025-05-01 14:03:58,R_8ZUftwxQlZsZ2cm,,,,,48.2049,16.3662,anonymous,EN,,I watched the video,,Weekly,9,10,Yes,9,Daily,20,Male,T2: VIDEO
2025-05-01 17:05:04,2025-05-01 17:06:08,IP Address,62.99.199.78,100,64,True,2025-05-01 17:06:08,R_26gzVsWb6e77blv,,,,,47.9445,16.1091,anonymous,EN,,I watched the video,,Weekly,10,10,Yes,7,Weekly,22,Male,T2: VIDEO
2025-05-01 16:55:27,2025-05-01 18:47:32,IP Address,137.208.216.6,100,6725,True,2025-05-01 18:47:32,R_8VQlEhGyJozF6Tt,,,,,48.2169,16.4997,anonymous,EN,"I want to be done with studying and have a job that fulfills me, live in a nice place ",,,Monthly,6,7,Yes,7,Never,21,Female,T1:JOURNALING
2025-05-01 20:00:14,2025-05-01 20:08:34,IP Address,178.165.188.45,100,499,True,2025-05-01 20:08:34,R_2isCmCbJkTloiS5,,,,,48.1773,16.2456,anonymous,EN,,I watched the video,,Daily,9,7,No,8,Weekly,21,Female,T2: VIDEO
2025-05-03 15:26:57,2025-05-03 15:28:56,IP Address,213.143.108.158,100,119,True,2025-05-03 15:28:57,R_5CpzvIC7SQ2wGKB,,,,,48.1982,16.3917,anonymous,EN,"I want to have a job and life that I like and be happy; finishing university, saving; studying",,,Monthly,6,5,Yes,5,Daily,20,Female,T1:JOURNALING
2025-05-03 15:39:18,2025-05-03 15:40:09,IP Address,213.142.97.223,100,51,True,2025-05-03 15:40:10,R_8nNmUbwuQG2nWA8,,,,,48.1982,16.3917,anonymous,EN,,,Dog Person,Daily,10,7,Yes,8,Daily,21,Male,CONTROL
2025-05-03 15:40:52,2025-05-03 15:41:17,IP Address,213.142.97.223,100,25,True,2025-05-03 15:41:18,R_89hrMPgzvjCsOZk,,,,,48.1982,16.3917,anonymous,EN,,,Dog Person,Daily,10,8,Yes,9,Daily,21,Male,CONTROL
