"ResponseId","treatment","product","money","age","gender","field","eda_session","fam_decoy","coffee_lemonade_freq","dog_cat"
"R_823GyC1wHyyTV9o","decoy","coffee",3,20,"Female","Informatics","Afternoon","Yes","Once a week.","Dog"
"R_8FJPgrJ1r4f2kY9","decoy","lemonade",6.5,22,"Male","Business Administration / Law","Afternoon","No","Three or more times a week.","Dog"
"R_8FJPgrJ1r4f2kY9","decoy","coffee",6.5,22,"Male","Business Administration / Law","Afternoon","No","Three or more times a week.","Dog"
"R_2X4HpIEim4V5MhL","decoy","lemonade",7,21,"Female","Business and Economic","Afternoon","Yes","Three or more times a week.","Dog"
"R_2X4HpIEim4V5MhL","decoy","coffee",3,21,"Female","Business and Economic","Afternoon","Yes","Three or more times a week.","Dog"
"R_8UKxEzsfdYHnJDz","control","lemonade",3,19,"Female","Business Informatics","Afternoon","No","Three or more times a week.","Dog"
"R_8UKxEzsfdYHnJDz","control","coffee",3,19,"Female","Business Informatics","Afternoon","No","Three or more times a week.","Dog"
"R_5G6687vnMi5oemB","control","lemonade",7,21,"Male","Business Informatics","Afternoon","No","Almost never.","Dog"
"R_5G6687vnMi5oemB","control","coffee",7,21,"Male","Business Informatics","Afternoon","No","Almost never.","Dog"
"R_1j946lbiXn7M9ng","control","lemonade",3,22,"Male","Usiness Economics","Afternoon","No","Once a week.","Dog"
"R_1j946lbiXn7M9ng","control","coffee",3,22,"Male","Usiness Economics","Afternoon","No","Once a week.","Dog"
"R_6PZf9v7Lqq4rSUU","control","lemonade",3,33,"Female","Bbe","Afternoon","No","Almost never.","Dog"
"R_6PZf9v7Lqq4rSUU","control","coffee",7,33,"Female","Bbe","Afternoon","No","Almost never.","Dog"
"R_3s5rud1wANVMrFH","control","lemonade",3,22,"Male","Business","Afternoon","No","Almost never.","Cat"
"R_3s5rud1wANVMrFH","control","coffee",3,22,"Male","Business","Afternoon","No","Almost never.","Cat"
"R_58NdWWXNJpOwY8U","control","lemonade",7,27,"Other","Business","Morning","Yes","Almost never.","Cat"
"R_58NdWWXNJpOwY8U","control","coffee",7,27,"Other","Business","Morning","Yes","Almost never.","Cat"
"R_7RlOph7XPk6koYl","control","lemonade",3,21,"Female","BW","Afternoon","No","Once a week.","Dog"
"R_7RlOph7XPk6koYl","control","coffee",3,21,"Female","BW","Afternoon","No","Once a week.","Dog"
"R_2v0UwLNBf3XtDMd","decoy","lemonade",7,21,"Male","Business Administration","Afternoon","No","Once a week.","Dog"
"R_2v0UwLNBf3XtDMd","decoy","coffee",3,21,"Male","Business Administration","Afternoon","No","Once a week.","Dog"
"R_6erdqv4zUFb6wuQ","control","lemonade",3,21,"Male","Wirtschaftsinformatik","Afternoon","Yes","Almost never.","Cat"
"R_6erdqv4zUFb6wuQ","control","coffee",3,21,"Male","Wirtschaftsinformatik","Afternoon","Yes","Almost never.","Cat"
"R_5HGOL9R8OtkMjat","decoy","lemonade",3,21,"Male","BBE Student","Afternoon","No","Three or more times a week.","Dog"
"R_5HGOL9R8OtkMjat","decoy","coffee",3,21,"Male","BBE Student","Afternoon","No","Three or more times a week.","Dog"
"R_8gihSBVTFiGpMYn","control","lemonade",3,21,"Prefer not to say","Business","Afternoon","Yes","Almost never.","Cat"
"R_8gihSBVTFiGpMYn","control","coffee",3,21,"Prefer not to say","Business","Afternoon","Yes","Almost never.","Cat"
"R_2mOb6EaaTEinjW1","control","lemonade",7,21,"Male","Business & economics","Afternoon","No","Three or more times a week.","Dog"
"R_2mOb6EaaTEinjW1","control","coffee",3,21,"Male","Business & economics","Afternoon","No","Three or more times a week.","Dog"
"R_3CJzQBH3KvAVb1o","decoy","lemonade",3,20,"Male","BBE","Afternoon","No","Once a week.","Cat"
"R_3CJzQBH3KvAVb1o","decoy","coffee",3,20,"Male","BBE","Afternoon","No","Once a week.","Cat"
"R_5lhKynZt7CxZ47A","decoy","lemonade",3,22,"Female","International business administration","Afternoon","No","Almost never.","Dog"
"R_5lhKynZt7CxZ47A","decoy","coffee",7,22,"Female","International business administration","Afternoon","No","Almost never.","Dog"
"R_5P4w1JjzhNwWvOu","decoy","lemonade",3,21,"Female","Law","Afternoon","No","Almost never.","Cat"
"R_5P4w1JjzhNwWvOu","decoy","coffee",3,21,"Female","Law","Afternoon","No","Almost never.","Cat"
"R_8f1Cbt5c5ttRFS1","decoy","lemonade",3,22,"Male","BW","Afternoon","No","Almost never.","Dog"
"R_8f1Cbt5c5ttRFS1","decoy","coffee",3,22,"Male","BW","Afternoon","No","Almost never.","Dog"
"R_2qxbmOzt8AGVx4W","decoy","lemonade",7,21,"Male","international business administration","Afternoon","Yes","Almost never.","Dog"
"R_2qxbmOzt8AGVx4W","decoy","coffee",6.5,21,"Male","international business administration","Afternoon","Yes","Almost never.","Dog"
"R_6NekpQXV0iIfOzD","control","lemonade",7,23,"Male","Business informatics","Afternoon","No","Three or more times a week.","Dog"
"R_6NekpQXV0iIfOzD","control","coffee",3,23,"Male","Business informatics","Afternoon","No","Three or more times a week.","Dog"
"R_6nVoY5UCPbBdqZ7","control","lemonade",7,21,"Female","Business and Economics (IMC and Decision sciences)","Afternoon","No","Almost never.","Dog"
"R_6nVoY5UCPbBdqZ7","control","coffee",7,21,"Female","Business and Economics (IMC and Decision sciences)","Afternoon","No","Almost never.","Dog"
"R_2LGd0TYmNdGfnsm","control","lemonade",3,24,"Male","Business and economics","Afternoon","No","Almost never.","Dog"
"R_2LGd0TYmNdGfnsm","control","coffee",3,24,"Male","Business and economics","Afternoon","No","Almost never.","Dog"
"R_5xz9fDRROuhH7Lb","decoy","lemonade",3,23,"Male","BBE","Afternoon","Yes","Almost never.","Cat"
"R_5xz9fDRROuhH7Lb","decoy","coffee",3,23,"Male","BBE","Afternoon","Yes","Almost never.","Cat"
"R_2ASuCYdIsirglN9","control","lemonade",7,21,"Male","Economics","Morning","No","Almost never.","Dog"
"R_2ASuCYdIsirglN9","control","coffee",3,21,"Male","Economics","Morning","No","Almost never.","Dog"
"R_8sdcR4CeNHKhIKn","decoy","lemonade",3,21,"Male","Business Administration","Morning","No","Almost never.","Dog"
"R_8sdcR4CeNHKhIKn","decoy","coffee",3,21,"Male","Business Administration","Morning","No","Almost never.","Dog"
"R_8dJZeUfWZ0mFAcp","control","lemonade",3,20,"Female","Physics","Morning","No","Once a week.","Cat"
"R_8dJZeUfWZ0mFAcp","control","coffee",3,20,"Female","Physics","Morning","No","Once a week.","Cat"
"R_8fUxvsgXFs8bLsm","control","lemonade",3,20,"Male","BBE Student","Morning","No","Once a week.","Cat"
"R_8fUxvsgXFs8bLsm","control","coffee",3,20,"Male","BBE Student","Morning","No","Once a week.","Cat"
"R_8PcWqm9AO7vSw9W","decoy","lemonade",7,20,"Female","ibw chinesisch","Morning","No","Three or more times a week.","Cat"
"R_8PcWqm9AO7vSw9W","decoy","coffee",7,20,"Female","ibw chinesisch","Morning","No","Three or more times a week.","Cat"
"R_2gSlUxQmkNymJBx","control","lemonade",7,20,"Male","Student","Afternoon","No","Two times a week.","Dog"
"R_2gSlUxQmkNymJBx","control","coffee",7,20,"Male","Student","Afternoon","No","Two times a week.","Dog"
"R_2U5ErH92tWXxOD7","control","lemonade",7,22,"Female","Wirtschafts- und Sozialwissenschaften","Morning","No","Once a week.","Dog"
"R_2U5ErH92tWXxOD7","control","coffee",3,22,"Female","Wirtschafts- und Sozialwissenschaften","Morning","No","Once a week.","Dog"
"R_2bi5DeYBte8nazD","control","lemonade",3,21,"Male","Law","Morning","Yes","Almost never.","Dog"
"R_2bi5DeYBte8nazD","control","coffee",3,21,"Male","Law","Morning","Yes","Almost never.","Dog"
"R_8TMh3bpdY9QezHu","decoy","lemonade",7,25,"Male","Cyber Security","Morning","No","Almost never.","Cat"
"R_8TMh3bpdY9QezHu","decoy","coffee",3,25,"Male","Cyber Security","Morning","No","Almost never.","Cat"
"R_2y8e2apQOzY8AZ4","control","lemonade",7,19,"Male","Business and Economics","Morning","Yes","Once a week.","Dog"
"R_2y8e2apQOzY8AZ4","control","coffee",3,19,"Male","Business and Economics","Morning","Yes","Once a week.","Dog"
"R_23WBao11kZeL2hw","decoy","lemonade",3,22,"Female","Business and Economics","Morning","No","Almost never.","Cat"
"R_23WBao11kZeL2hw","decoy","coffee",3,22,"Female","Business and Economics","Morning","No","Almost never.","Cat"
"R_21tvDYDnHY5keMB","decoy","lemonade",3,22,"Female","Law","Morning","No","Two times a week.","Cat"
"R_21tvDYDnHY5keMB","decoy","coffee",3,22,"Female","Law","Morning","No","Two times a week.","Cat"
"R_2lJk8zl9QlRE1et","control","lemonade",7,21,"Male","Bwl/economics","Morning","No","Almost never.","Dog"
"R_2lJk8zl9QlRE1et","control","coffee",7,21,"Male","Bwl/economics","Morning","No","Almost never.","Dog"
"R_8GAXEHXUiKbqaQK","decoy","lemonade",6.5,20,"Female","Business/Economics","Morning","No","Almost never.","Dog"
"R_8GAXEHXUiKbqaQK","decoy","coffee",3,20,"Female","Business/Economics","Morning","No","Almost never.","Dog"
"R_88oPaAXuctNYj2V","control","lemonade",3,21,"Female","Business and Economics","Morning","No","Three or more times a week.","Dog"
"R_88oPaAXuctNYj2V","control","coffee",3,21,"Female","Business and Economics","Morning","No","Three or more times a week.","Dog"
"R_23D8KC5XCKf6e9o","control","lemonade",7,34,"Male","Marketing","Morning","No","Once a week.","Cat"
"R_23D8KC5XCKf6e9o","control","coffee",7,34,"Male","Marketing","Morning","No","Once a week.","Cat"
"R_8L6zc93QR4Dsn6b","control","lemonade",7,23,"Male","Data Analyst","Morning","Yes","Almost never.","Cat"
"R_8L6zc93QR4Dsn6b","control","coffee",3,23,"Male","Data Analyst","Morning","Yes","Almost never.","Cat"
"R_2iikSgjXOP6l5BL","decoy","lemonade",3,22,"Male","Business Informatics","Morning","No","Almost never.","Dog"
"R_2iikSgjXOP6l5BL","decoy","coffee",3,22,"Male","Business Informatics","Morning","No","Almost never.","Dog"
"R_2krUX5Jy0ONISGt","control","lemonade",7,19,"Male","Business and Economics","Morning","Yes","Once a week.","Cat"
"R_2krUX5Jy0ONISGt","control","coffee",3,19,"Male","Business and Economics","Morning","Yes","Once a week.","Cat"
"R_2IXZJAEsDj72xQd","decoy","lemonade",7,23,"Male","International Business Administration","Morning","No","Two times a week.","Dog"
"R_2IXZJAEsDj72xQd","decoy","coffee",6.5,23,"Male","International Business Administration","Morning","No","Two times a week.","Dog"
"R_2sVHhpNkDEay4Kd","control","lemonade",7,21,"Male","Finance","Morning","No","Once a week.","Dog"
"R_2sVHhpNkDEay4Kd","control","coffee",7,21,"Male","Finance","Morning","No","Once a week.","Dog"
"R_8g63lYPw1CXOdYh","decoy","lemonade",3,20,"Female","IBWL","Morning","Yes","Almost never.","Cat"
"R_8g63lYPw1CXOdYh","decoy","coffee",3,20,"Female","IBWL","Morning","Yes","Almost never.","Cat"
"R_2KifgOVd4wHlOtX","decoy","lemonade",7,22,"Male","Business Informatics","Morning","No","Once a week.","Dog"
"R_2KifgOVd4wHlOtX","decoy","coffee",3,22,"Male","Business Informatics","Morning","No","Once a week.","Dog"
"R_22QnQrKgtEGpNIi","decoy","lemonade",3,19,"Male","BBE Student at WU","Morning","No","Almost never.","Cat"
"R_22QnQrKgtEGpNIi","decoy","coffee",3,19,"Male","BBE Student at WU","Morning","No","Almost never.","Cat"
"R_8wga0qfr8Esx3Ha","control","lemonade",7,25,"Female","International Business Administration","Afternoon","No","Once a week.","Cat"
"R_8wga0qfr8Esx3Ha","control","coffee",3,25,"Female","International Business Administration","Afternoon","No","Once a week.","Cat"
"R_8hAD3lyrK8xmEKE","control","lemonade",7,22,"Female","Wirtschaftsinformatik","Afternoon","No","Three or more times a week.","Cat"
"R_8hAD3lyrK8xmEKE","control","coffee",3,22,"Female","Wirtschaftsinformatik","Afternoon","No","Three or more times a week.","Cat"
"R_2mqaFQWX0FbkMql","control","lemonade",7,21,"Female","Business and Economics","Afternoon","No","Three or more times a week.","Dog"
"R_2mqaFQWX0FbkMql","control","coffee",7,21,"Female","Business and Economics","Afternoon","No","Three or more times a week.","Dog"
"R_28VcL8UzVasjsPJ","decoy","lemonade",3,23,"Male","Business Informatics","Afternoon","No","Three or more times a week.","Cat"
"R_28VcL8UzVasjsPJ","decoy","coffee",3,23,"Male","Business Informatics","Afternoon","No","Three or more times a week.","Cat"
"R_2foFvFkyYVriIvX","decoy","lemonade",7,22,"Female","Informations Systems","Afternoon","No","Two times a week.","Dog"
"R_2foFvFkyYVriIvX","decoy","coffee",7,22,"Female","Informations Systems","Afternoon","No","Two times a week.","Dog"
"R_8WUzht6QJwOaKRq","control","lemonade",7,20,"Female","Business and Economics","Afternoon","No","Two times a week.","Cat"
"R_8WUzht6QJwOaKRq","control","coffee",7,20,"Female","Business and Economics","Afternoon","No","Two times a week.","Cat"
"R_2oqhyS9OymvtzWl","control","lemonade",3,23,"Male","23","Afternoon","No","Three or more times a week.","Cat"
"R_2oqhyS9OymvtzWl","control","coffee",3,23,"Male","23","Afternoon","No","Three or more times a week.","Cat"
"R_8EgUyRQ1szr059O","control","lemonade",3,21,"Male","Strategy, managerial accounting, finance","Afternoon","No","Almost never.","Dog"
"R_8EgUyRQ1szr059O","control","coffee",3,21,"Male","Strategy, managerial accounting, finance","Afternoon","No","Almost never.","Dog"
"R_2IXB8hi7cBTRNEU","control","lemonade",3,24,"Female","Supply Chain Management","Afternoon","No","Three or more times a week.","Cat"
"R_2IXB8hi7cBTRNEU","control","coffee",3,24,"Female","Supply Chain Management","Afternoon","No","Three or more times a week.","Cat"
"R_2RW9HDvzNI8tkml","decoy","lemonade",7,28,"Male","Economics","Afternoon","No","Almost never.","Dog"
"R_2RW9HDvzNI8tkml","decoy","coffee",7,28,"Male","Economics","Afternoon","No","Almost never.","Dog"
"R_2Xpww3ugcsu9OXG","decoy","lemonade",6.5,20,"Female","event management, modeling","Afternoon","No","Almost never.","Cat"
"R_2Xpww3ugcsu9OXG","decoy","coffee",6.5,20,"Female","event management, modeling","Afternoon","No","Almost never.","Cat"
"R_22SpYoiorY7NIpR","decoy","lemonade",7,22,"Male","Wirtschaftsinformatik","Afternoon","No","Once a week.","Dog"
"R_22SpYoiorY7NIpR","decoy","coffee",7,22,"Male","Wirtschaftsinformatik","Afternoon","No","Once a week.","Dog"
"R_8C5wCsAvV8D7ENr","control","lemonade",3,22,"Female","IBW","Morning","No","Once a week.","Cat"
"R_8C5wCsAvV8D7ENr","control","coffee",3,22,"Female","IBW","Morning","No","Once a week.","Cat"
"R_2c8fxZa61GrLi7L","decoy","lemonade",6.5,20,"Female","IBWL","Morning","No","Three or more times a week.","Dog"
"R_2c8fxZa61GrLi7L","decoy","coffee",3,20,"Female","IBWL","Morning","No","Three or more times a week.","Dog"
"R_8MQc784fkxdGZBa","decoy","lemonade",7,23,"Male","BBE","Morning","Yes","Once a week.","Dog"
"R_8MQc784fkxdGZBa","decoy","coffee",3,23,"Male","BBE","Morning","Yes","Once a week.","Dog"
"R_21c4JE3E2r6kCpl","decoy","lemonade",7,20,"Male","socio economics","Morning","No","Three or more times a week.","Cat"
"R_21c4JE3E2r6kCpl","decoy","coffee",7,20,"Male","socio economics","Morning","No","Three or more times a week.","Cat"
"R_82VgR8c6HhoUM7z","decoy","lemonade",3,20,"Male","Betriebwirtschaftslehre","Morning","Yes","Almost never.","Dog"
"R_82VgR8c6HhoUM7z","decoy","coffee",3,20,"Male","Betriebwirtschaftslehre","Morning","Yes","Almost never.","Dog"
"R_2E5BEuhWzn1Uixk","control","lemonade",3,20,"Female","Economics","Morning","No","Three or more times a week.","Cat"
"R_2E5BEuhWzn1Uixk","control","coffee",7,20,"Female","Economics","Morning","No","Three or more times a week.","Cat"
"R_2t9wFcO8l7OEZ83","decoy","lemonade",3,24,"Male","BBE","Morning","Yes","Almost never.","Dog"
"R_2t9wFcO8l7OEZ83","decoy","coffee",3,24,"Male","BBE","Morning","Yes","Almost never.","Dog"
"R_2VJv9EyHMGfn896","control","lemonade",3,23,"Male","Business Development","Morning","No","Almost never.","Cat"
"R_2VJv9EyHMGfn896","control","coffee",3,23,"Male","Business Development","Morning","No","Almost never.","Cat"
"R_2mgY7248w2LBaG1","decoy","lemonade",3,20,"Male","Business and Economics","Morning","Yes","Almost never.","Dog"
"R_2mgY7248w2LBaG1","decoy","coffee",3,20,"Male","Business and Economics","Morning","Yes","Almost never.","Dog"
"R_2qVaNDKNM7FTffI","control","lemonade",7,20,"Male","Student","Morning","No","Almost never.","Dog"
"R_2qVaNDKNM7FTffI","control","coffee",3,20,"Male","Student","Morning","No","Almost never.","Dog"
"R_8MR5ZNuFIRavUCf","control","lemonade",7,24,"Male","Economics","Morning","Yes","Almost never.","Cat"
"R_8MR5ZNuFIRavUCf","control","coffee",3,24,"Male","Economics","Morning","Yes","Almost never.","Cat"
"R_8bGXgMEbHNWK33G","decoy","lemonade",7,22,"Male","Economics, Computer Science","Morning","Yes","Almost never.","Dog"
"R_8bGXgMEbHNWK33G","decoy","coffee",3,22,"Male","Economics, Computer Science","Morning","Yes","Almost never.","Dog"
"R_2DtFBdErapSM1fk","decoy","lemonade",7,22,"Female","Business informatics","Morning","No","Almost never.","Cat"
"R_2DtFBdErapSM1fk","decoy","coffee",6.5,22,"Female","Business informatics","Morning","No","Almost never.","Cat"
"R_2e2WVKiImc17Dzw","control","lemonade",7,20,"Male","Economics","Morning","No","Almost never.","Cat"
"R_2e2WVKiImc17Dzw","control","coffee",3,20,"Male","Economics","Morning","No","Almost never.","Cat"
"R_2yiCdBrjwUXWPe1","control","lemonade",7,21,"Male","Business and Economics","Morning","No","Three or more times a week.","Dog"
"R_2yiCdBrjwUXWPe1","control","coffee",3,21,"Male","Business and Economics","Morning","No","Three or more times a week.","Dog"
"R_2qD8HHE4bIoINyN","decoy","lemonade",3,22,"Male","IBWL and Psychology","Morning","No","Almost never.","Cat"
"R_2qD8HHE4bIoINyN","decoy","coffee",3,22,"Male","IBWL and Psychology","Morning","No","Almost never.","Cat"
"R_2iKHPDAfiNFHCOW","control","lemonade",7,21,"Female","BWL","Morning","No","Two times a week.","Dog"
"R_2iKHPDAfiNFHCOW","control","coffee",3,21,"Female","BWL","Morning","No","Two times a week.","Dog"
"R_2ipGfBAcDsEo3zb","control","lemonade",7,20,"Female","Data Science","Morning","No","Three or more times a week.","Dog"
"R_2ipGfBAcDsEo3zb","control","coffee",3,20,"Female","Data Science","Morning","No","Three or more times a week.","Dog"
"R_8tQQE0ZOKPgOn6N","control","lemonade",3,19,"Female","Business and economics","Morning","Yes","Almost never.","Dog"
"R_8tQQE0ZOKPgOn6N","control","coffee",7,19,"Female","Business and economics","Morning","Yes","Almost never.","Dog"
"R_831isfoGOsCXO6g","decoy","lemonade",3,21,"Female","Business and Economics","Morning","No","Almost never.","Cat"
"R_831isfoGOsCXO6g","decoy","coffee",3,21,"Female","Business and Economics","Morning","No","Almost never.","Cat"
"R_2EHxEXKv5modrR7","control","lemonade",7,22,"Female","Business and Economics","Morning","No","Three or more times a week.","Cat"
"R_2EHxEXKv5modrR7","control","coffee",3,22,"Female","Business and Economics","Morning","No","Three or more times a week.","Cat"
"R_89bnBPNN3veiH8S","decoy","lemonade",7,23,"Male","BWL","Morning","Yes","Almost never.","Dog"
"R_89bnBPNN3veiH8S","decoy","coffee",3,23,"Male","BWL","Morning","Yes","Almost never.","Dog"
"R_2gz3Mc7j1P7YjGF","decoy","lemonade",3,21,"Female","Economics","Morning","Yes","Almost never.","Cat"
"R_2gz3Mc7j1P7YjGF","decoy","coffee",6.5,21,"Female","Economics","Morning","Yes","Almost never.","Cat"
"R_8xY4NTWQck4eZk3","control","lemonade",7,22,"Female","WINF","Morning","No","Almost never.","Cat"
"R_8xY4NTWQck4eZk3","control","coffee",3,22,"Female","WINF","Morning","No","Almost never.","Cat"
"R_8Edefp0gDut6eEa","control","lemonade",7,21,"Male","WISO, BWL","Morning","No","Once a week.","Cat"
"R_8Edefp0gDut6eEa","control","coffee",3,21,"Male","WISO, BWL","Morning","No","Once a week.","Cat"
"R_215bcX0tFGwkXyM","decoy","lemonade",3,24,"Male","Business","Morning","Yes","Almost never.","Dog"
"R_215bcX0tFGwkXyM","decoy","coffee",7,24,"Male","Business","Morning","Yes","Almost never.","Dog"
"R_8f0t5LkuE480gVx","control","lemonade",7,23,"Male","Business Informatics","Morning","No","Once a week.","Cat"
"R_8f0t5LkuE480gVx","control","coffee",3,23,"Male","Business Informatics","Morning","No","Once a week.","Cat"
"R_8c45M4iOrsPNdD3","control","lemonade",7,24,"Female","business informatics","Morning","Yes","Once a week.","Cat"
"R_8c45M4iOrsPNdD3","control","coffee",7,24,"Female","business informatics","Morning","Yes","Once a week.","Cat"
"R_234ZbysjBCkt10R","decoy","lemonade",3,21,"Male","Consulting","Afternoon","No","Once a week.","Cat"
"R_234ZbysjBCkt10R","decoy","coffee",3,21,"Male","Consulting","Afternoon","No","Once a week.","Cat"
"R_81ciwVP6HFNqADA","control","lemonade",7,21,"Male","Business student","Afternoon","No","Once a week.","Dog"
"R_81ciwVP6HFNqADA","control","coffee",7,21,"Male","Business student","Afternoon","No","Once a week.","Dog"
"R_2o29nfy34HaD9N7","decoy","lemonade",3,21,"Male","Finance","Afternoon","No","Once a week.","Dog"
"R_2o29nfy34HaD9N7","decoy","coffee",3,21,"Male","Finance","Afternoon","No","Once a week.","Dog"
"R_8g14V5PCoaNhsV4","control","lemonade",3,22,"Male","Business Law","Afternoon","No","Almost never.","Dog"
"R_8g14V5PCoaNhsV4","control","coffee",3,22,"Male","Business Law","Afternoon","No","Almost never.","Dog"
"R_8CfsFe8SmjnxwmR","decoy","lemonade",3,20,"Male","Business Information Systems","Afternoon","Yes","Almost never.","Cat"
"R_8CfsFe8SmjnxwmR","decoy","coffee",3,20,"Male","Business Information Systems","Afternoon","Yes","Almost never.","Cat"
"R_2zCvtz2DHWxCndM","decoy","lemonade",7,28,"Female","Business law (master) and business administration (bachelor)","Afternoon","No","Almost never.","Cat"
