"country" "points" "price" "province" "variety" "winery"
"Italy" 87 75 "Tuscany" "Red Blend" "Donne Fittipaldi"
"Italy" 87 40 "Tuscany" "Red Blend" "Aia Vecchia"
"Italy" 89 32 "Tuscany" "Red Blend" "Amantis"
"France" 89 22 "Southwest France" "Red Blend" "Cave du Marmandais"
"France" 89 13 "Southwest France" "Red Blend" "Domaine Roumagnac"
"Italy" 88 17 "Tuscany" "Red Blend" "Marchesi de' Frescobaldi"
"Italy" 88 35 "Lombardy" "Red Blend" "Nera"
"France" 91 78 "Burgundy" "Chardonnay" "Domaine Vincent Girardin"
"France" 91 60 "Burgundy" "Chardonnay" "Domaine de Bellene"
"Italy" 90 39 "Sicily & Sardinia" "Red Blend" "Tornatore"
"France" 90 50 "Burgundy" "Chardonnay" "Château de Santenay"
"France" 90 32 "France Other" "White Blend" "Domaine des Baumard"
"France" 90 19 "Rhône Valley" "Rosé" "E. Guigal"
"Italy" 90 28 "Tuscany" "Red Blend" "Castello della Paneretta"
"France" 90 17 "Rhône Valley" "Rosé" "Lavau"
"France" 92 45 "Provence" "Rosé" "Château Saint-Maur"
"France" 92 59 "Provence" "Rosé" "Bernard Magrez"
"France" 92 28 "Southwest France" "Red Blend" "Château Bellevue la Forêt"
"Italy" 85 10 "Veneto" "White Blend" "Amatore"
"Italy" 87 20 "Tuscany" "White Blend" "Campo al Mare"
"Italy" 87 25 "Tuscany" "Red Blend" "Terre del Marchesato"
"Italy" 90 25 "Tuscany" "Red Blend" "Fattoria La Ripa"
"Italy" 90 16 "Tuscany" "Red Blend" "Castellinuzza e Piuca"
"Italy" 88 19 "Tuscany" "Red Blend" "Pietro Beconcini"
"Italy" 88 28 "Tuscany" "Red Blend" "Pieve Santo Stefano"
"France" 88 12 "Southwest France" "Red Blend" "Château Lastours"
"France" 88 45 "Southwest France" "Red Blend" "Cave du Marmandais"
"Italy" 88 26 "Tuscany" "Red Blend" "Argiano"
"France" 88 28 "Loire Valley" "Rosé" "Domaine Vincent Delaporte"
"France" 90 35 "Burgundy" "Chardonnay" "Château de Lavernette"
"France" 90 117 "Burgundy" "Chardonnay" "Domaine Jacques Prieur"
"France" 90 15 "Bordeaux" "Rosé" "Vignobles Grandeau"
"Italy" 90 50 "Tuscany" "Red Blend" "Mazzei"
"France" 92 45 "Provence" "Rosé" "Château Coussin"
"France" 92 20 "Provence" "Rosé" "Château de Calavon"
"France" 92 26 "Provence" "Rosé" "Château des Bormettes"
"France" 92 28 "Southwest France" "Red Blend" "L'Enclos des Braves"
"Italy" 90 24 "Piedmont" "Red Blend" "La Prevostura"
"France" 84 12 "Southwest France" "Rosé" "Domaine de l'Herré"
"France" 84 19 "Burgundy" "Chardonnay" "Pierre Gruber"
"France" 84 12 "Southwest France" "Rosé" "Domaine de Grange Neuve"
"France" 84 11 "Southwest France" "Rosé" "Georges Vigouroux"
"Italy" 87 30 "Tuscany" "Red Blend" "Caccia al Piano 1868"
"Italy" 90 42 "Northeastern Italy" "Chardonnay" "Vie di Romans"
"Italy" 88 20 "Tuscany" "Red Blend" "Altesino"
"Italy" 88 35 "Tuscany" "Red Blend" "Olivi"
"Italy" 88 20 "Tuscany" "Red Blend" "Poggio al Tesoro"
"France" 88 12 "Southwest France" "Red Blend" "Domaine d'Arton"
"France" 88 25 "Loire Valley" "Rosé" "Henri Bourgeois"
"Italy" 90 20 "Sicily & Sardinia" "White Blend" "Tenuta delle Terre Nere"
"France" 92 99 "Southwest France" "Red Blend" "Producteurs Plaimont"
"France" 92 17 "Provence" "Rosé" "Château la Vivonne"
"France" 92 48 "Provence" "Rosé" "Château Léoube"
"France" 92 52 "Provence" "Rosé" "Domaines Ott"
"France" 92 34 "Provence" "Rosé" "Figuière"
"France" 92 35 "Provence" "Rosé" "Mirabeau"
"Italy" 90 35 "Tuscany" "Red Blend" "Fattoria di Valiano"
"Italy" 89 37 "Tuscany" "Red Blend" "Tenute del Cerro"
"Italy" 89 18 "Tuscany" "Red Blend" "I Fabbri"
"Italy" 89 65 "Tuscany" "Syrah" "Fattoria di Magliano"
"France" 90 55 "Burgundy" "Chardonnay" "Louis Max"
"Italy" 87 30 "Tuscany" "Red Blend" "Caccia al Piano 1868"
"Italy" 88 25 "Italy Other" "White Blend" "Tenuta di Fiorano"
"Italy" 88 25 "Tuscany" "Syrah" "Leopoldo I di Toscana"
"Italy" 88 15 "Tuscany" "Red Blend" "Mazzei"
"Italy" 88 175 "Tuscany" "Red Blend" "Monteverro"
"Italy" 88 17 "Tuscany" "Red Blend" "Rocca delle Macìe"
"Italy" 88 16 "Tuscany" "Red Blend" "Tenuta Villa Trasqua"
"Italy" 90 30 "Tuscany" "Red Blend" "Ceralti"
"France" 90 55 "Burgundy" "Chardonnay" "Louis Max"
"France" 92 48 "Provence" "Rosé" "Château Sainte Marguerite"
"France" 90 26 "Burgundy" "Chardonnay" "Château de Lavernette"
"France" 90 16 "France Other" "Rosé" "Domaine Terre de Mistral"
"Italy" 90 20 "Sicily & Sardinia" "White Blend" "Tenuta delle Terre Nere"
"Italy" 86 18 "Tuscany" "Red Blend" "Ceralti"
"France" 88 15 "Southwest France" "Red Blend" "Cave du Marmandais"
"Italy" 88 29 "Tuscany" "Red Blend" "Diadema"
"France" 92 65 "Provence" "Rosé" "Château d'Esclans"
"France" 89 22 "Rhône Valley" "Rosé" "Dauvergne & Ranvier"
"France" 90 238 "Burgundy" "Chardonnay" "Jean-Luc and Paul Aegerter"
"France" 90 65 "Burgundy" "Chardonnay" "Louis Max"
"France" 89 12 "Bordeaux" "Rosé" "Château de l'Aubrade"
"France" 89 10 "Bordeaux" "Rosé" "Château Fonfroide"
"France" 89 13 "Languedoc-Roussillon" "Rosé" "Hecht & Bannier"
"France" 89 17 "Alsace" "White Blend" "La Cave des Vignerons de Pfaffenheim"
"Italy" 86 24 "Tuscany" "Red Blend" "Giorgio Meletti Cavallari"
"Italy" 86 24 "Tuscany" "Red Blend" "Guado al Melo"
"France" 92 65 "Provence" "Rosé" "Château d'Esclans"
"France" 92 32 "Provence" "Rosé" "Château d'Ollières"
"France" 92 40 "Provence" "Rosé" "Les Maîtres Vignerons de la Presqu'île de Saint-Tropez"
"Italy" 89 15 "Tuscany" "Red Blend" "Pepi Lignana"
"Italy" 89 49 "Tuscany" "Red Blend" "Poggio Verrano"
"France" 88 14 "Rhône Valley" "Rosé" "Château de Nages"
"Italy" 88 60 "Tuscany" "Red Blend" "Capezzana"
"France" 88 11 "Southwest France" "Red Blend" "Château Viella"
"France" 88 17 "Southwest France" "White Blend" "Domaine Cauhapé"
"France" 90 46 "Burgundy" "Chardonnay" "Domaine Vincent Girardin"
"Italy" 90 60 "Tuscany" "Red Blend" "Tenuta Argentiera"
"France" 91 24 "Provence" "Rosé" "Château du Galoupet"
"France" 91 25 "Provence" "Rosé" "Château la Mascaronne"
"France" 91 24 "Provence" "Rosé" "Domaine Clos Gautier"
"France" 91 20 "Provence" "Rosé" "Domaine Dragon"
"France" 91 17 "Provence" "Rosé" "Domaine Houchart"
"France" 91 20 "Provence" "Rosé" "Domaine Saint Andrieu"
"France" 89 50 "Burgundy" "Chardonnay" "Château de Santenay"
"Italy" 89 30 "Tuscany" "Red Blend" "Serpaia di Endrizzi"
"France" 90 21 "Alsace" "White Blend" "Domaine Schoffit"
"Italy" 88 32 "Tuscany" "Red Blend" "I Giusti e Zanza"
"France" 88 16 "Southwest France" "White Blend" "L'Enclos des Braves"
"France" 88 16 "Rhône Valley" "Rosé" "Marrenon"
"Italy" 88 20 "Tuscany" "Red Blend" "Mazzoni"
"France" 89 50 "Burgundy" "Chardonnay" "Domaine de Bellene"
"France" 89 40 "Southwest France" "Syrah" "Château Lagrézette"
"Italy" 89 30 "Tuscany" "Red Blend" "Tenuta Santo Pietro"
"France" 89 43 "Burgundy" "Chardonnay" "Jean-Luc and Paul Aegerter"
"France" 89 35 "Burgundy" "Chardonnay" "Domaine Faiveley"
"Italy" 89 22 "Sicily & Sardinia" "Red Blend" "Firriato"
"France" 87 14 "Rhône Valley" "Rosé" "Mas des Bressades"
"France" 87 15 "Rhône Valley" "Rosé" "Château d'Or et de Gueules"
"France" 87 12 "Southwest France" "White Blend" "Domaine Chiroulet"
"France" 91 35 "Provence" "Rosé" "Château d'Esclans"
"France" 91 52 "Provence" "Rosé" "Domaines Ott"
"France" 91 22 "Provence" "Rosé" "Fabre en Provence"
"France" 89 43 "Burgundy" "Chardonnay" "Au Pied du Mont Chauve"
"France" 89 40 "Burgundy" "Chardonnay" "Château de Santenay"
"Italy" 89 35 "Tuscany" "Red Blend" "Fattoria di Montemaggio"
"Italy" 89 32 "Tuscany" "Red Blend" "Guado al Tasso"
"Italy" 89 10 "Veneto" "White Blend" "La Cappuccina"
"France" 89 46 "Burgundy" "Chardonnay" "Domaine Laroche"
"France" 89 117 "Burgundy" "Chardonnay" "Domaine Jacques Prieur"
"France" 89 90 "Burgundy" "Chardonnay" "Albert Bichot"
"France" 89 13 "Bordeaux" "Rosé" "Château La Croix de Queynac"
"Italy" 94 23 "Tuscany" "Red Blend" "Gracciano della Seta"
"France" 89 11 "Rhône Valley" "Rosé" "Famille Perrin"
"Italy" 89 26 "Tuscany" "Red Blend" "Carpineto"
"France" 91 27 "Provence" "Rosé" "Château Pas du Cerf"
"France" 91 20 "Provence" "Rosé" "Domaine d'Eole"
"France" 91 24 "Provence" "Rosé" "Château Grand Boise"
"France" 91 35 "Provence" "Rosé" "Château Hermitage Saint-Martin"
"France" 91 40 "Provence" "Rosé" "Château Léoube"
"France" 91 20 "Provence" "Rosé" "Château Sainte-Béatrice"
"France" 91 19 "Provence" "Rosé" "Commanderie de la Bargemone"
"France" 89 26 "Burgundy" "Chardonnay" "Domaine Sangouard-Guyot"
"France" 89 31 "Burgundy" "Chardonnay" "Domaine Vincent Girardin"
"Italy" 89 16 "Veneto" "White Blend" "Pieropan"
"France" 89 90 "Burgundy" "Chardonnay" "Albert Bichot"
"Italy" 89 34 "Sicily & Sardinia" "Red Blend" "Terrazze dell'Etna"
"Italy" 89 25 "Tuscany" "Red Blend" "Riseccoli"
"Italy" 89 60 "Tuscany" "Red Blend" "Vecchia Cantina di Montepulciano"
"Italy" 88 15 "Tuscany" "Red Blend" "La Cignozza"
"Italy" 88 25 "Tuscany" "Red Blend" "Villa di Geggiano"
"France" 88 37 "Burgundy" "Chardonnay" "Domaine Belland"
"France" 88 25 "Burgundy" "Chardonnay" "Domaine Saint-Aix"
"France" 91 24 "Provence" "Rosé" "Château Gassier"
"France" 91 20 "Provence" "Rosé" "Château Henri Bonnaud"
"France" 87 16 "Southwest France" "Red Blend" "L'Enclos des Braves"
"Italy" 87 17 "Tuscany" "Red Blend" "Diadema"
"Italy" 87 30 "Tuscany" "Red Blend" "Fattoria di Travalda"
"Italy" 87 70 "Tuscany" "Syrah" "Terre del Marchesato"
"Italy" 87 25 "Tuscany" "Red Blend" "Tenuta di Trecciano"
"Italy" 87 28 "Tuscany" "Red Blend" "Pieve Santo Stefano"
"Italy" 87 40 "Tuscany" "Red Blend" "Poggioventoso"
"Italy" 89 70 "Tuscany" "Red Blend" "Castellare di Castellina"
"France" 89 36 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"France" 89 36 "Burgundy" "Chardonnay" "Albert Bichot"
"France" 93 36 "Alsace" "Red Blend" "Domaine Marcel Deiss"
"Italy" 88 56 "Tuscany" "Red Blend" "Poggio Borgoni"
"Italy" 88 18 "Tuscany" "Red Blend" "Tenuta La Badiola"
"Italy" 88 30 "Tuscany" "Red Blend" "Canneta"
"Italy" 88 20 "Tuscany" "Red Blend" "Bibbiano"
"Italy" 88 44 "Tuscany" "Red Blend" "Barone Ricasoli"
"Italy" 88 25 "Tuscany" "Red Blend" "Fattoria di Montemaggio"
"Italy" 88 36 "Tuscany" "White Blend" "Fattoria Lavacchio"
"France" 89 50 "Champagne" "Chardonnay" "Pierre Gimonnet et Fils"
"France" 91 21 "Provence" "Rosé" "Les Vignobles Gueissard"
"Italy" 85 35 "Tuscany" "Red Blend" "Aia Vecchia"
"France" 87 11 "Southwest France" "White Blend" "Vignobles 46N118"
"France" 87 16 "Southwest France" "Red Blend" "Château d'Aydie"
"Italy" 87 15 "Tuscany" "Red Blend" "Castello del Terriccio"
"Italy" 87 65 "Tuscany" "Red Blend" "Cennatoio"
"France" 87 14 "Southwest France" "Rosé" "Château Bellevue la Forêt"
"Italy" 89 35 "Tuscany" "Red Blend" "Donna Olimpia 1898"
"France" 89 65 "Burgundy" "Chardonnay" "Evening Land"
"France" 89 55 "Burgundy" "Chardonnay" "Roche de Bellene"
"Italy" 88 40 "Tuscany" "Red Blend" "Lamole di Lamole"
"Italy" 89 27 "Sicily & Sardinia" "Red Blend" "Cantina Santadi"
"France" 89 15 "Languedoc-Roussillon" "Rosé" "Château du Donjon"
"France" 89 10 "Bordeaux" "Rosé" "Château Les Hauts de Palette"
"France" 89 40 "Burgundy" "Chardonnay" "Domaine Huguenot"
"Italy" 87 15 "Tuscany" "Red Blend" "Tenuta La Badiola"
"Italy" 87 15 "Tuscany" "Red Blend" "Castello del Terriccio"
"Italy" 87 65 "Tuscany" "Red Blend" "Cennatoio"
"France" 87 14 "Southwest France" "Rosé" "Château Bellevue la Forêt"
"France" 87 16 "Southwest France" "Red Blend" "Château d'Aydie"
"France" 86 14 "Bordeaux" "Rosé" "Château Tour de Guiet"
"France" 91 23 "Provence" "Rosé" "Ravoire et Fils"
"France" 91 29 "Provence" "Rosé" "Bernard Magrez"
"France" 91 35 "Southwest France" "Red Blend" "Cave du Marmandais"
"France" 91 25 "Provence" "Rosé" "Château de l'Escarelle"
"France" 91 40 "Provence" "Rosé" "Château Minuty"
"France" 91 15 "Provence" "Rosé" "Château Vignelaure"
"Italy" 88 25 "Tuscany" "Red Blend" "I Fabbri"
"France" 88 55 "Champagne" "Chardonnay" "Forget-Brimont"
"France" 84 13 "Bordeaux" "Rosé" "Producta Vignobles"
"Italy" 88 65 "Southern Italy" "Red Blend" "Marisa Cuomo"
"Italy" 88 25 "Sicily & Sardinia" "White Blend" "Antichi Vinai 1877"
"France" 88 14 "Bordeaux" "Rosé" "Château de Lardiley"
"France" 88 14 "Bordeaux" "Rosé" "Château des Antonins"
"France" 88 26 "Burgundy" "Chardonnay" "Domaine George"
"France" 86 14 "Bordeaux" "Rosé" "Château Tour de Guiet"
"France" 86 20 "Loire Valley" "Rosé" "Roger et Didier Raimbault"
"Italy" 88 60 "Northeastern Italy" "White Blend" "Cantina Terlano"
"Italy" 88 18 "Veneto" "White Blend" "Coffele"
"Italy" 88 27 "Tuscany" "Red Blend" "Fattoria di Corsignano"
"France" 88 22 "Loire Valley" "Rosé" "Jean-Max Roger"
"France" 90 20 "Provence" "Rosé" "Château Barbeiranne"
"France" 90 22 "Provence" "Rosé" "Mas de Cadenet"
"Italy" 87 17 "Tuscany" "Red Blend" "San Fabiano Calcinaia"
"Italy" 87 18 "Tuscany" "Red Blend" "Terre del Marchesato"
"Italy" 87 30 "Tuscany" "Red Blend" "Volpaia"
"Italy" 87 18 "Tuscany" "Red Blend" "Guado al Melo"
"Italy" 87 16 "Tuscany" "Red Blend" "Castello di Meleto"
"France" 88 19 "Burgundy" "Chardonnay" "Domaine Céline et Frédéric Gueguen"
"France" 88 30 "Burgundy" "Chardonnay" "Domaine Chenevières"
"France" 90 20 "Provence" "Rosé" "Château Barbeiranne"
"France" 90 22 "Provence" "Rosé" "Mas de Cadenet"
"France" 90 12 "Provence" "Rosé" "Ravoire et Fils"
"France" 88 40 "Burgundy" "Chardonnay" "Chartron et Trébuchet"
"France" 88 50 "Burgundy" "Chardonnay" "Château de Santenay"
"Italy" 88 25 "Tuscany" "Red Blend" "Machiavelli"
"Italy" 88 25 "Tuscany" "Red Blend" "Nottola"
"Italy" 88 18 "Tuscany" "Red Blend" "Il Brunone"
"Italy" 88 25 "Tuscany" "Red Blend" "Le Bertille"
"France" 88 30 "Rhône Valley" "Rosé" "Chêne Bleu"
"Italy" 93 70 "Tuscany" "Red Blend" "Michele Satta"
"France" 88 11 "Bordeaux" "Rosé" "Quai de la Lune"
"France" 88 17 "France Other" "Rosé" "Domaine Vetriccie"
"Italy" 88 17 "Sicily & Sardinia" "White Blend" "Donnafugata"
"France" 88 19 "Burgundy" "Chardonnay" "Domaine Céline et Frédéric Gueguen"
"France" 88 30 "Burgundy" "Chardonnay" "Domaine Chenevières"
"France" 88 34 "Burgundy" "Chardonnay" "Jean-Luc and Paul Aegerter"
"France" 88 46 "Burgundy" "Chardonnay" "Jean-Luc and Paul Aegerter"
"Italy" 88 24 "Tuscany" "Red Blend" "Olivi"
"France" 88 23 "Burgundy" "Chardonnay" "Roche de Bellene"
"Italy" 88 25 "Northeastern Italy" "White Blend" "Cantina Terlano"
"France" 86 32 "Loire Valley" "Rosé" "Domaine Vacheron"
"France" 87 14 "Southwest France" "White Blend" "Domaine des Terrisses"
"Italy" 87 85 "Tuscany" "Red Blend" "Brancaia"
"Italy" 87 180 "Tuscany" "Red Blend" "Caiarossa"
"Italy" 87 26 "Tuscany" "Red Blend" "PoderNuovo a Palazzone"
"Italy" 87 37 "Tuscany" "Red Blend" "Quercia al Poggio"
"France" 90 75 "Provence" "Rosé" "Château Minuty"
"France" 90 17 "Provence" "Rosé" "Château Riotor"
"France" 88 17 "France Other" "Rosé" "Domaine Vetriccie"
"Italy" 88 17 "Sicily & Sardinia" "White Blend" "Donnafugata"
"France" 88 11 "Bordeaux" "Rosé" "Quai de la Lune"
"Italy" 93 40 "Tuscany" "Red Blend" "Boscarelli"
"Italy" 93 45 "Tuscany" "Red Blend" "Il Conventino"
"Italy" 88 18 "Tuscany" "Red Blend" "Il Brunone"
"Italy" 88 25 "Tuscany" "Red Blend" "Le Bertille"
"Italy" 88 25 "Northeastern Italy" "White Blend" "Cantina Terlano"
"France" 88 16 "Southwest France" "Chardonnay" "Domaine D'en Ségur"
"France" 88 58 "Burgundy" "Chardonnay" "Domaine Vincent Girardin"
"France" 88 28 "Burgundy" "Chardonnay" "Trenel Fils"
"France" 88 46 "Burgundy" "Chardonnay" "Domaine Gérard Duplessis"
"France" 88 55 "Champagne" "Chardonnay" "Jean Milan"
"France" 88 30 "Burgundy" "Chardonnay" "Louis Max"
"France" 89 20 "Provence" "Rosé" "Mirabeau"
"France" 89 26 "Provence" "Rosé" "Bernard Magrez"
"Italy" 87 10 "Tuscany" "Red Blend" "Capezzana"
"France" 87 25 "Southwest France" "Rosé" "Château Lagrézette"
"France" 86 18 "Southwest France" "Red Blend" "Domaine Rotier"
"Italy" 86 16 "Lombardy" "White Blend" "Nera"
"France" 90 21 "Provence" "Rosé" "Domaine Clos Gautier"
"France" 90 24 "Provence" "Rosé" "Domaine Gavoty"
"France" 90 23 "Provence" "Rosé" "Domaine Harmonie des Arpents"
"France" 90 15 "Provence" "Rosé" "Domaine Houchart"
"France" 90 20 "Provence" "Rosé" "Château de Bregançon"
"France" 90 20 "Provence" "Rosé" "Château des Bertrands"
"France" 88 25 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"France" 88 10 "France Other" "Rosé" "Ravoire et Fils"
"France" 88 16 "Bordeaux" "Rosé" "Vignerons de Tutiac"
"France" 88 20 "France Other" "Rosé" "Domaine Alzitana"
"France" 88 12 "Bordeaux" "Rosé" "Château des Tourtes"
"France" 88 16 "Bordeaux" "Rosé" "Domaine de Chevalier"
"Italy" 92 49 "Tuscany" "Red Blend" "Contucci"
"France" 88 30 "Rhône Valley" "Rosé" "Chêne Bleu"
"France" 88 13 "Rhône Valley" "Rosé" "Louis Bernard"
"Italy" 88 40 "Tuscany" "Red Blend" "Poggio Verrano"
"Italy" 88 25 "Tuscany" "Red Blend" "Tenuta Santo Pietro"
"Italy" 88 90 "Tuscany" "Red Blend" "Donne Fittipaldi"
"France" 88 16 "Bordeaux" "Rosé" "Vignerons de Tutiac"
"France" 88 25 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"France" 88 20 "Burgundy" "Chardonnay" "Cave de Lugny"
"France" 88 14 "Bordeaux" "Rosé" "Château Pey la Tour"
"Italy" 88 40 "Tuscany" "Red Blend" "Poggio Verrano"
"France" 88 13 "Rhône Valley" "Rosé" "Louis Bernard"
"Italy" 88 38 "Tuscany" "Red Blend" "Le Fonti"
"Italy" 92 118 "Tuscany" "Red Blend" "Michele Satta"
"Italy" 92 23 "Tuscany" "Red Blend" "Selvapiana"
"Italy" 92 50 "Tuscany" "White Blend" "Volpaia"
"France" 86 12 "Southwest France" "White Blend" "Laudet"
"France" 86 14 "Southwest France" "Red Blend" "Château Flotis"
"Italy" 86 12 "Tuscany" "Red Blend" "Cecchi"
"Italy" 86 23 "Tuscany" "Red Blend" "Brancaia"
"France" 86 12 "Rhône Valley" "Rosé" "Domaine de la Petite Cassagne"
"France" 86 17 "Southwest France" "Rosé" "Domaine D'en Ségur"
"France" 86 12 "Southwest France" "White Blend" "Domaine du Rey"
"France" 86 11 "Southwest France" "White Blend" "Domaine du Tariquet"
"France" 86 15 "Southwest France" "White Blend" "François Lurton"
"Italy" 86 35 "Tuscany" "Red Blend" "Il Palazzo"
"France" 88 38 "Champagne" "Chardonnay" "Baron-Fuenté"
"Italy" 92 45 "Tuscany" "Red Blend" "Palazzo Vecchio"
"France" 88 28 "Burgundy" "Chardonnay" "Trenel Fils"
"Italy" 88 19 "Veneto" "White Blend" "Cantina di Soave"
"France" 85 14 "Loire Valley" "Rosé" "La Grille"
"France" 85 13 "Loire Valley" "Rosé" "Henri Bourgeois"
"Italy" 88 18 "Sicily & Sardinia" "White Blend" "Cusumano"
"France" 88 25 "Burgundy" "Chardonnay" "Chanson Père et Fils"
