;Day;Publisher;impressions;clicks;revenue;viewed_impressions;ctr;price_cpm;view_rate;number_ads;quality;volume;genre
113;29.06.2016;11555;5184601;148;9204,70;722830;0,000029;1,78;0,139;14;non-premium;Large;General_interest
117;30.06.2016;11555;5440338;138;5584,63;751926;0,000025;1,03;0,138;14;non-premium;Large;General_interest
2;01.07.2016;11555;5489966;82;17645,12;680584;0,000015;3,21;0,124;14;non-premium;Large;General_interest
6;02.07.2016;11555;6028759;195;11447,88;1306628;0,000032;1,90;0,217;14;non-premium;Large;General_interest
10;03.07.2016;11555;8816010;220;22257,60;2335972;0,000025;2,52;0,265;14;non-premium;Large;General_interest
14;04.07.2016;11555;12418921;124;16230,37;1812761;0,000010;1,31;0,146;14;non-premium;Large;General_interest
18;05.07.2016;11555;11261700;102;14034,57;1429599;0,000009;1,25;0,127;14;non-premium;Large;General_interest
22;06.07.2016;11555;12384515;137;29882,58;2477091;0,000011;2,41;0,2;14;non-premium;Large;General_interest
26;07.07.2016;11555;8203605;119;17525,68;1363567;0,000015;2,14;0,166;14;non-premium;Large;General_interest
30;08.07.2016;11555;5017327;87;14283,58;697985;0,000017;2,85;0,139;14;non-premium;Large;General_interest
34;09.07.2016;11555;3461744;68;6437,45;476631;0,000020;1,86;0,138;14;non-premium;Large;General_interest
38;10.07.2016;11555;4257450;43;8350,56;581361;0,000010;1,96;0,137;14;non-premium;Large;General_interest
42;11.07.2016;11555;5402661;71;6954,43;744777;0,000013;1,29;0,138;14;non-premium;Large;General_interest
46;12.07.2016;11555;5692129;69;18524,52;771078;0,000012;3,25;0,135;14;non-premium;Large;General_interest
50;13.07.2016;11555;5939025;87;11141,07;789655;0,000015;1,88;0,133;14;non-premium;Large;General_interest
54;14.07.2016;11555;5793631;81;6564,96;778514;0,000014;1,13;0,134;14;non-premium;Large;General_interest
58;15.07.2016;11555;5325423;70;9888,55;725076;0,000013;1,86;0,136;14;non-premium;Large;General_interest
62;16.07.2016;11555;3866571;76;4460,42;559483;0,000020;1,15;0,145;14;non-premium;Large;General_interest
66;17.07.2016;11555;4622598;93;7442,57;667662;0,000020;1,61;0,144;14;non-premium;Large;General_interest
70;18.07.2016;11555;6745273;91;13399,73;932789;0,000013;1,99;0,138;14;non-premium;Large;General_interest
74;19.07.2016;11555;8333766;82;18622,28;1159044;0,000010;2,23;0,139;14;non-premium;Large;General_interest
78;20.07.2016;11555;6126041;89;12857,64;871809;0,000015;2,10;0,142;14;non-premium;Large;General_interest
82;21.07.2016;11555;6843853;120;10830,58;906229;0,000018;1,58;0,132;14;non-premium;Large;General_interest
86;22.07.2016;11555;7624763;99;12676,95;1367029;0,000013;1,66;0,179;14;non-premium;Large;General_interest
90;23.07.2016;11555;6120812;98;19304,14;1158921;0,000016;3,15;0,189;14;non-premium;Large;General_interest
94;24.07.2016;11555;5681865;92;13108,97;816395;0,000016;2,31;0,144;14;non-premium;Large;General_interest
98;25.07.2016;11555;6700817;97;4240,44;871765;0,000014;0,63;0,13;14;non-premium;Large;General_interest
102;26.07.2016;11555;6807013;78;11196,95;871976;0,000011;1,64;0,128;14;non-premium;Large;General_interest
106;27.07.2016;11555;6164696;75;19183,58;816180;0,000012;3,11;0,132;14;non-premium;Large;General_interest
110;28.07.2016;11555;6928910;101;9684,34;925202;0,000015;1,40;0,134;14;non-premium;Large;General_interest
114;29.07.2016;11555;8393989;90;4573,18;1142184;0,000011;0,54;0,136;14;non-premium;Large;General_interest
118;30.07.2016;11555;5520329;88;11020,59;783539;0,000016;2,00;0,142;14;non-premium;Large;General_interest
121;31.07.2016;11555;7162379;89;19131,70;937447;0,000012;2,67;0,131;14;non-premium;Large;General_interest
3;01.08.2016;11555;9688515;94;27256,18;1257856;0,000010;2,81;0,13;14;non-premium;Large;General_interest
7;02.08.2016;11555;10347077;111;34626,67;1313412;0,000011;3,35;0,127;14;non-premium;Large;General_interest
11;03.08.2016;11555;9602043;78;24171,64;1245061;0,000008;2,52;0,13;14;non-premium;Large;General_interest
15;04.08.2016;11555;9816398;102;19399,50;1214356;0,000010;1,98;0,124;14;non-premium;Large;General_interest
19;05.08.2016;11555;8266815;133;3023,88;1033711;0,000016;0,37;0,125;14;non-premium;Large;General_interest
23;06.08.2016;11555;4570317;94;10204,72;618030;0,000021;2,23;0,135;14;non-premium;Large;General_interest
27;07.08.2016;11555;5150637;109;11891,26;686671;0,000021;2,31;0,133;14;non-premium;Large;General_interest
31;08.08.2016;11555;6692594;89;21757,70;914992;0,000013;3,25;0,137;14;non-premium;Large;General_interest
35;09.08.2016;11555;11381942;109;21673,80;2864260;0,000010;1,90;0,252;14;non-premium;Large;General_interest
39;10.08.2016;11555;6767265;171;3522,38;1055229;0,000025;0,52;0,156;14;non-premium;Large;General_interest
43;11.08.2016;11555;6240121;123;4256,63;825398;0,000020;0,68;0,132;14;non-premium;Large;General_interest
47;12.08.2016;11555;8568891;121;21575,72;1850952;0,000014;2,52;0,216;14;non-premium;Large;General_interest
51;13.08.2016;11555;8309628;143;6272,44;2162352;0,000017;0,75;0,26;14;non-premium;Large;General_interest
55;14.08.2016;11555;9711181;137;13949,66;2544161;0,000014;1,44;0,262;14;non-premium;Large;General_interest
59;15.08.2016;11555;11188993;171;27029,62;3069040;0,000015;2,42;0,274;14;non-premium;Large;General_interest
63;16.08.2016;11555;8594895;136;18286,30;1330441;0,000016;2,13;0,155;14;non-premium;Large;General_interest
67;17.08.2016;11555;9336077;117;16497,02;1199046;0,000013;1,77;0,128;14;non-premium;Large;General_interest
71;18.08.2016;11555;9349434;105;22181,00;1180329;0,000011;2,37;0,126;14;non-premium;Large;General_interest
75;19.08.2016;11555;11603911;174;20772,20;2851927;0,000015;1,79;0,246;14;non-premium;Large;General_interest
79;20.08.2016;11555;10879199;180;8060,63;2795237;0,000017;0,74;0,257;14;non-premium;Large;General_interest
83;21.08.2016;11555;9178377;110;22155,56;1299891;0,000012;2,41;0,142;14;non-premium;Large;General_interest
87;22.08.2016;11555;10037931;123;30946,24;1331591;0,000012;3,08;0,133;14;non-premium;Large;General_interest
91;23.08.2016;11555;9105973;129;16633,13;1242858;0,000014;1,83;0,136;14;non-premium;Large;General_interest
95;24.08.2016;11555;9329021;136;27755,67;1169388;0,000015;2,98;0,125;14;non-premium;Large;General_interest
99;25.08.2016;11555;9004461;97;11421,96;1153652;0,000011;1,27;0,128;14;non-premium;Large;General_interest
103;26.08.2016;11555;7170080;101;17475,87;887674;0,000014;2,44;0,124;14;non-premium;Large;General_interest
107;27.08.2016;11555;8227589;151;7660,19;1910277;0,000018;0,93;0,232;14;non-premium;Large;General_interest
111;28.08.2016;11555;7217211;82;4815,50;1073777;0,000011;0,67;0,149;14;non-premium;Large;General_interest
115;29.08.2016;11555;9475286;105;16392,01;1229960;0,000011;1,73;0,13;14;non-premium;Large;General_interest
119;30.08.2016;11555;8893418;81;8816,59;1137317;0,000009;0,99;0,128;14;non-premium;Large;General_interest
122;31.08.2016;11555;8078324;96;2949,30;1013671;0,000012;0,37;0,125;14;non-premium;Large;General_interest
4;01.09.2016;11555;9845111;58;14958,65;1192626;0,000006;1,52;0,121;14;non-premium;Large;General_interest
8;02.09.2016;11555;8387145;52;17015,82;1059826;0,000006;2,03;0,126;14;non-premium;Large;General_interest
12;03.09.2016;11555;7650342;92;5712,55;1614695;0,000012;0,75;0,211;14;non-premium;Large;General_interest
16;04.09.2016;11555;9798293;88;5429,78;1371282;0,000009;0,55;0,14;14;non-premium;Large;General_interest
20;05.09.2016;11555;10317695;95;7692,75;1474191;0,000009;0,75;0,143;14;non-premium;Large;General_interest
24;06.09.2016;11555;9119834;86;22925,49;1189265;0,000009;2,51;0,13;14;non-premium;Large;General_interest
28;07.09.2016;11555;6714625;60;13000,90;863953;0,000009;1,94;0,129;14;non-premium;Large;General_interest
32;08.09.2016;11555;8473710;84;29779,39;1132148;0,000010;3,51;0,134;14;non-premium;Large;General_interest
36;09.09.2016;11555;11095100;123;19649,45;2586357;0,000011;1,77;0,233;14;non-premium;Large;General_interest
40;10.09.2016;11555;6789081;85;13635,33;1005555;0,000013;2,01;0,148;14;non-premium;Large;General_interest
44;11.09.2016;11555;7887727;93;13646,00;990525;0,000012;1,73;0,126;14;non-premium;Large;General_interest
48;12.09.2016;11555;12259749;86;15539,20;2254336;0,000007;1,27;0,184;14;non-premium;Large;General_interest
52;13.09.2016;11555;8729441;65;11707,70;1182262;0,000007;1,34;0,135;14;non-premium;Large;General_interest
56;14.09.2016;11555;8736219;73;12590,52;1212948;0,000008;1,44;0,139;14;non-premium;Large;General_interest
60;15.09.2016;11555;8053800;65;20767,33;1062246;0,000008;2,58;0,132;14;non-premium;Large;General_interest
64;16.09.2016;11555;8662422;86;14995,46;1122067;0,000010;1,73;0,13;14;non-premium;Large;General_interest
68;17.09.2016;11555;6753572;92;16965,33;874389;0,000014;2,51;0,129;14;non-premium;Large;General_interest
72;18.09.2016;11555;11362722;152;19280,20;2521486;0,000013;1,70;0,222;14;non-premium;Large;General_interest
76;19.09.2016;11555;9673614;122;4692,75;1421074;0,000013;0,49;0,147;14;non-premium;Large;General_interest
80;20.09.2016;11555;12770148;186;20503,63;2983133;0,000015;1,61;0,234;14;non-premium;Large;General_interest
84;21.09.2016;11555;14073380;280;11511,48;3665476;0,000020;0,82;0,26;14;non-premium;Large;General_interest
88;22.09.2016;11555;8825853;191;16624,02;1362565;0,000022;1,88;0,154;14;non-premium;Large;General_interest
92;23.09.2016;11555;7670660;159;18516,54;932936;0,000021;2,41;0,122;14;non-premium;Large;General_interest
96;24.09.2016;11555;5459925;129;7681,07;669885;0,000024;1,41;0,123;14;non-premium;Large;General_interest
100;25.09.2016;11555;6542091;175;10206,67;831616;0,000027;1,56;0,127;14;non-premium;Large;General_interest
104;26.09.2016;11555;9478993;160;21944,08;1264816;0,000017;2,32;0,133;14;non-premium;Large;General_interest
108;27.09.2016;11555;9299021;256;25362,91;1217636;0,000028;2,73;0,131;14;non-premium;Large;General_interest
112;28.09.2016;11555;11734281;118;15996,43;1276938;0,000010;1,36;0,109;14;non-premium;Large;General_interest
116;29.09.2016;11555;9811799;366;23377,39;1335952;0,000037;2,38;0,136;14;non-premium;Large;General_interest
120;30.09.2016;11555;8473818;250;16619,16;999467;0,000030;1,96;0,118;14;non-premium;Large;General_interest
123;01.06.2016;11655;16818;4;62,73;7932;0,000238;3,73;0,472;2;premium;Large;General_interest
127;02.06.2016;11655;17355;5;22,42;8471;0,000288;1,29;0,488;2;premium;Large;General_interest
131;03.06.2016;11655;13214;5;16,94;6491;0,000378;1,28;0,491;2;premium;Large;General_interest
135;04.06.2016;11655;10267;5;38,10;5008;0,000487;3,71;0,488;2;premium;Large;General_interest
139;05.06.2016;11655;11816;4;17,67;5560;0,000339;1,50;0,471;2;premium;Large;General_interest
143;06.06.2016;11655;16757;4;33,35;8390;0,000239;1,99;0,501;2;premium;Large;General_interest
147;07.06.2016;11655;13935;7;24,46;6791;0,000502;1,76;0,487;2;premium;Large;General_interest
151;08.06.2016;11655;16190;5;50,30;8371;0,000309;3,11;0,517;2;premium;Large;General_interest
155;09.06.2016;11655;16747;7;40,95;8432;0,000418;2,44;0,503;2;premium;Large;General_interest
159;10.06.2016;11655;9441;4;25,56;4273;0,000424;2,71;0,453;2;premium;Large;General_interest
163;11.06.2016;11655;10229;3;28,32;5205;0,000293;2,77;0,509;2;premium;Large;General_interest
167;12.06.2016;11655;14085;5;33,22;7082;0,000355;2,36;0,503;2;premium;Large;General_interest
171;13.06.2016;11655;20001;6;46,51;10170;0,000300;2,33;0,508;2;premium;Large;General_interest
175;14.06.2016;11655;21545;7;51,95;11456;0,000325;2,41;0,532;2;premium;Large;General_interest
179;15.06.2016;11655;14315;4;25,84;7205;0,000279;1,80;0,503;2;premium;Large;General_interest
183;16.06.2016;11655;14744;7;44,45;8059;0,000475;3,01;0,547;2;premium;Large;General_interest
187;17.06.2016;11655;13599;4;22,11;7629;0,000294;1,63;0,561;2;premium;Large;General_interest
191;18.06.2016;11655;6479;0;12,05;3520;0,000000;1,86;0,543;2;premium;Large;General_interest
195;19.06.2016;11655;5775;0;8,43;3079;0,000000;1,46;0,533;2;premium;Large;General_interest
199;20.06.2016;11655;11010;1;16,50;6095;0,000091;1,50;0,554;2;premium;Large;General_interest
203;21.06.2016;11655;15269;8;30,57;7983;0,000524;2,00;0,523;2;premium;Large;General_interest
207;22.06.2016;11655;15159;7;10,65;8508;0,000462;0,70;0,561;2;premium;Large;General_interest
211;23.06.2016;11655;12392;5;21,25;6724;0,000403;1,71;0,543;2;premium;Large;General_interest
215;24.06.2016;11655;11864;5;37,70;6608;0,000421;3,18;0,557;2;premium;Large;General_interest
219;25.06.2016;11655;8081;7;19,99;4320;0,000866;2,47;0,535;2;premium;Large;General_interest
223;26.06.2016;11655;9043;1;18,86;4874;0,000111;2,09;0,539;2;premium;Large;General_interest
227;27.06.2016;11655;18525;7;29,37;10228;0,000378;1,59;0,552;2;premium;Large;General_interest
231;28.06.2016;11655;12037;6;30,59;6441;0,000498;2,54;0,535;2;premium;Large;General_interest
235;29.06.2016;11655;18725;8;63,29;10067;0,000427;3,38;0,538;2;premium;Large;General_interest
239;30.06.2016;11655;22287;15;74,53;11728;0,000673;3,34;0,526;2;premium;Large;General_interest
124;01.07.2016;11655;18350;1;20,63;9600;0,000054;1,12;0,523;2;premium;Large;General_interest
128;02.07.2016;11655;9278;1;13,86;5026;0,000108;1,49;0,542;2;premium;Large;General_interest
132;03.07.2016;11655;12169;0;38,77;6332;0,000000;3,19;0,52;2;premium;Large;General_interest
136;04.07.2016;11655;17729;0;60,77;9167;0,000000;3,43;0,517;2;premium;Large;General_interest
140;05.07.2016;11655;19209;3;58,62;10116;0,000156;3,05;0,527;2;premium;Large;General_interest
144;06.07.2016;11655;16995;1;36,32;9461;0,000059;2,14;0,557;2;premium;Large;General_interest
148;07.07.2016;11655;13773;3;48,12;6899;0,000218;3,49;0,501;2;premium;Large;General_interest
152;08.07.2016;11655;13890;3;27,29;7007;0,000216;1,96;0,504;2;premium;Large;General_interest
156;09.07.2016;11655;6759;3;19,62;3610;0,000444;2,90;0,534;2;premium;Large;General_interest
160;10.07.2016;11655;11071;2;30,68;5977;0,000181;2,77;0,54;2;premium;Large;General_interest
164;11.07.2016;11655;4890;0;7,93;2155;0,000000;1,62;0,441;2;premium;Large;General_interest
168;12.07.2016;11655;7377;0;17,53;3577;0,000000;2,38;0,485;2;premium;Large;General_interest
172;13.07.2016;11655;11811;1;13,60;5782;0,000085;1,15;0,49;2;premium;Large;General_interest
176;14.07.2016;11655;14178;1;26,55;7139;0,000071;1,87;0,504;2;premium;Large;General_interest
180;15.07.2016;11655;13044;1;32,14;6604;0,000077;2,46;0,506;2;premium;Large;General_interest
184;16.07.2016;11655;8580;0;14,79;4495;0,000000;1,72;0,524;2;premium;Large;General_interest
188;17.07.2016;11655;10896;0;12,39;5740;0,000000;1,14;0,527;2;premium;Large;General_interest
192;18.07.2016;11655;9966;0;7,83;4977;0,000000;0,79;0,499;2;premium;Large;General_interest
196;19.07.2016;11655;11586;1;18,04;5634;0,000086;1,56;0,486;2;premium;Large;General_interest
200;20.07.2016;11655;11839;0;51,81;5497;0,000000;4,38;0,464;2;premium;Large;General_interest
204;21.07.2016;11655;12747;0;18,64;6261;0,000000;1,46;0,491;2;premium;Large;General_interest
208;22.07.2016;11655;10646;0;6,57;4809;0,000000;0,62;0,452;2;premium;Large;General_interest
212;23.07.2016;11655;6395;1;20,73;2852;0,000156;3,24;0,446;2;premium;Large;General_interest
216;24.07.2016;11655;11383;0;27,14;5537;0,000000;2,38;0,486;2;premium;Large;General_interest
220;25.07.2016;11655;10893;0;23,28;5125;0,000000;2,14;0,47;2;premium;Large;General_interest
224;26.07.2016;11655;10125;0;28,57;5138;0,000000;2,82;0,507;2;premium;Large;General_interest
228;27.07.2016;11655;7387;0;7,27;3397;0,000000;0,98;0,46;2;premium;Large;General_interest
232;28.07.2016;11655;18264;2;33,58;8087;0,000110;1,84;0,443;2;premium;Large;General_interest
236;29.07.2016;11655;16079;4;37,59;6680;0,000249;2,34;0,415;2;premium;Large;General_interest
240;30.07.2016;11655;13782;3;45,25;6234;0,000218;3,28;0,452;2;premium;Large;General_interest
243;31.07.2016;11655;17673;3;30,53;8246;0,000170;1,73;0,467;2;premium;Large;General_interest
125;01.08.2016;11655;26573;4;71,89;13183;0,000151;2,71;0,496;2;premium;Large;General_interest
129;02.08.2016;11655;26213;3;72,51;12851;0,000114;2,77;0,49;2;premium;Large;General_interest
133;03.08.2016;11655;22461;4;74,68;11342;0,000178;3,32;0,505;2;premium;Large;General_interest
137;04.08.2016;11655;22097;2;43,06;10957;0,000091;1,95;0,496;2;premium;Large;General_interest
141;05.08.2016;11655;20262;1;48,73;10212;0,000049;2,41;0,504;2;premium;Large;General_interest
145;06.08.2016;11655;15263;2;24,93;7684;0,000131;1,63;0,503;2;premium;Large;General_interest
149;07.08.2016;11655;16740;1;40,85;8232;0,000060;2,44;0,492;2;premium;Large;General_interest
153;08.08.2016;11655;24091;2;16,25;12072;0,000083;0,67;0,501;2;premium;Large;General_interest
157;09.08.2016;11655;21842;0;47,10;10827;0,000000;2,16;0,496;2;premium;Large;General_interest
161;10.08.2016;11655;22479;0;57,56;11321;0,000000;2,56;0,504;2;premium;Large;General_interest
165;11.08.2016;11655;22611;1;51,13;11663;0,000044;2,26;0,516;2;premium;Large;General_interest
169;12.08.2016;11655;23136;0;44,44;11704;0,000000;1,92;0,506;2;premium;Large;General_interest
173;13.08.2016;11655;15132;0;41,85;7476;0,000000;2,77;0,494;2;premium;Large;General_interest
177;14.08.2016;11655;16983;2;10,04;8179;0,000118;0,59;0,482;2;premium;Large;General_interest
181;15.08.2016;11655;21397;1;75,66;10565;0,000047;3,54;0,494;2;premium;Large;General_interest
185;16.08.2016;11655;21631;2;42,32;10677;0,000092;1,96;0,494;2;premium;Large;General_interest
189;17.08.2016;11655;22830;1;47,82;11418;0,000044;2,09;0,5;2;premium;Large;General_interest
193;18.08.2016;11655;21643;0;36,75;11478;0,000000;1,70;0,53;2;premium;Large;General_interest
197;19.08.2016;11655;15644;1;17,56;8209;0,000064;1,12;0,525;2;premium;Large;General_interest
201;20.08.2016;11655;15920;1;43,94;7971;0,000063;2,76;0,501;2;premium;Large;General_interest
205;21.08.2016;11655;17868;0;39,51;9113;0,000000;2,21;0,51;2;premium;Large;General_interest
209;22.08.2016;11655;23898;6;58,57;12422;0,000251;2,45;0,52;2;premium;Large;General_interest
213;23.08.2016;11655;21651;3;16,30;11713;0,000139;0,75;0,541;2;premium;Large;General_interest
217;24.08.2016;11655;16701;1;49,51;8947;0,000060;2,96;0,536;2;premium;Large;General_interest
221;25.08.2016;11655;22280;2;67,12;11373;0,000090;3,01;0,51;2;premium;Large;General_interest
225;26.08.2016;11655;17987;3;30,54;8325;0,000167;1,70;0,463;2;premium;Large;General_interest
229;27.08.2016;11655;13544;1;27,83;6202;0,000074;2,06;0,458;2;premium;Large;General_interest
233;28.08.2016;11655;18053;2;23,71;8834;0,000111;1,31;0,489;2;premium;Large;General_interest
237;29.08.2016;11655;27267;2;60,15;14148;0,000073;2,21;0,519;2;premium;Large;General_interest
241;30.08.2016;11655;23593;4;39,55;11925;0,000170;1,68;0,505;2;premium;Large;General_interest
244;31.08.2016;11655;15327;0;28,34;7370;0,000000;1,85;0,481;2;premium;Large;General_interest
126;01.09.2016;11655;16142;0;57,45;7678;0,000000;3,56;0,476;2;premium;Large;General_interest
130;02.09.2016;11655;9186;0;12,74;3956;0,000000;1,39;0,431;2;premium;Large;General_interest
134;03.09.2016;11655;7897;0;14,45;3641;0,000000;1,83;0,461;2;premium;Large;General_interest
138;04.09.2016;11655;13898;1;19,31;7030;0,000072;1,39;0,506;2;premium;Large;General_interest
142;05.09.2016;11655;18567;1;46,08;9592;0,000054;2,48;0,517;2;premium;Large;General_interest
146;06.09.2016;11655;18871;2;53,81;9644;0,000106;2,85;0,511;2;premium;Large;General_interest
150;07.09.2016;11655;15339;2;42,05;7601;0,000130;2,74;0,496;2;premium;Large;General_interest
154;08.09.2016;11655;13617;4;21,01;7168;0,000294;1,54;0,526;2;premium;Large;General_interest
158;09.09.2016;11655;7460;0;19,61;3497;0,000000;2,63;0,469;2;premium;Large;General_interest
162;10.09.2016;11655;10734;1;19,93;5347;0,000093;1,86;0,498;2;premium;Large;General_interest
166;11.09.2016;11655;14214;3;23,00;7015;0,000211;1,62;0,494;2;premium;Large;General_interest
170;12.09.2016;11655;23333;1;47,14;12056;0,000043;2,02;0,517;2;premium;Large;General_interest
174;13.09.2016;11655;10155;3;22,36;5127;0,000295;2,20;0,505;2;premium;Large;General_interest
178;14.09.2016;11655;7651;1;19,60;3921;0,000131;2,56;0,512;2;premium;Large;General_interest
182;15.09.2016;11655;12343;1;13,99;6553;0,000081;1,13;0,531;2;premium;Large;General_interest
186;16.09.2016;11655;7639;0;12,23;3478;0,000000;1,60;0,455;2;premium;Large;General_interest
190;17.09.2016;11655;5531;0;13,02;2444;0,000000;2,35;0,442;2;premium;Large;General_interest
194;18.09.2016;11655;15835;0;36,57;8291;0,000000;2,31;0,524;2;premium;Large;General_interest
198;19.09.2016;11655;13887;1;33,93;7045;0,000072;2,44;0,507;2;premium;Large;General_interest
202;20.09.2016;11655;13053;0;24,48;6850;0,000000;1,88;0,525;2;premium;Large;General_interest
206;21.09.2016;11655;12555;0;25,18;6909;0,000000;2,01;0,55;2;premium;Large;General_interest
210;22.09.2016;11655;6085;0;1,59;3005;0,000000;0,26;0,494;2;premium;Large;General_interest
214;23.09.2016;11655;1945;0;4,32;866;0,000000;2,22;0,445;2;premium;Large;General_interest
218;24.09.2016;11655;567;0;0,72;211;0,000000;1,27;0,372;2;premium;Large;General_interest
222;25.09.2016;11655;1585;0;6,13;763;0,000000;3,87;0,481;2;premium;Large;General_interest
226;26.09.2016;11655;3687;0;6,38;1876;0,000000;1,73;0,509;2;premium;Large;General_interest
230;27.09.2016;11655;5010;0;9,87;2614;0,000000;1,97;0,522;2;premium;Large;General_interest
234;28.09.2016;11655;6080;0;11,57;3083;0,000000;1,90;0,507;2;premium;Large;General_interest
238;29.09.2016;11655;2972;1;8,30;1231;0,000336;2,79;0,414;2;premium;Large;General_interest
242;30.09.2016;11655;5346;0;10,37;2128;0,000000;1,94;0,398;2;premium;Large;General_interest
245;01.06.2016;11755;6552;1;15,32;3164;0,000153;2,34;0,483;8;premium;Small;Special_interest
249;02.06.2016;11755;7743;0;23,91;3747;0,000000;3,09;0,484;8;premium;Small;Special_interest
253;03.06.2016;11755;6156;0;11,72;3003;0,000000;1,90;0,488;8;premium;Small;Special_interest
257;04.06.2016;11755;4413;0;14,79;2117;0,000000;3,35;0,48;8;premium;Small;Special_interest
261;05.06.2016;11755;5113;0;16,19;2377;0,000000;3,17;0,465;8;premium;Small;Special_interest
265;06.06.2016;11755;6367;0;17,46;3101;0,000000;2,74;0,487;8;premium;Small;Special_interest
269;07.06.2016;11755;6339;0;20,81;3185;0,000000;3,28;0,502;8;premium;Small;Special_interest
273;08.06.2016;11755;7410;0;16,76;3850;0,000000;2,26;0,52;8;premium;Small;Special_interest
277;09.06.2016;11755;7083;0;25,99;3700;0,000000;3,67;0,522;8;premium;Small;Special_interest
281;10.06.2016;11755;2150;0;5,18;1148;0,000000;2,41;0,534;8;premium;Small;Special_interest
285;11.06.2016;11755;4091;1;8,25;2074;0,000244;2,02;0,507;8;premium;Small;Special_interest
288;12.06.2016;11755;5634;0;12,03;2875;0,000000;2,14;0,51;8;premium;Small;Special_interest
292;13.06.2016;11755;7524;1;18,60;3930;0,000133;2,47;0,522;8;premium;Small;Special_interest
296;14.06.2016;11755;8591;1;25,48;4490;0,000116;2,97;0,523;8;premium;Small;Special_interest
300;15.06.2016;11755;5270;0;11,04;2775;0,000000;2,10;0,527;8;premium;Small;Special_interest
304;16.06.2016;11755;6067;0;2,77;3197;0,000000;0,46;0,527;8;premium;Small;Special_interest
308;17.06.2016;11755;5559;0;6,70;2888;0,000000;1,21;0,52;8;premium;Small;Special_interest
312;18.06.2016;11755;2198;1;4,86;1097;0,000455;2,21;0,499;8;premium;Small;Special_interest
316;19.06.2016;11755;1998;0;3,68;1045;0,000000;1,84;0,523;8;premium;Small;Special_interest
320;20.06.2016;11755;3817;1;7,13;1973;0,000262;1,87;0,517;8;premium;Small;Special_interest
324;21.06.2016;11755;3920;0;6,49;1940;0,000000;1,66;0,495;8;premium;Small;Special_interest
328;22.06.2016;11755;4661;1;8,89;2359;0,000215;1,91;0,506;8;premium;Small;Special_interest
